date,vessel_class,eua_carbon_price_eur_per_ton,avg_cii_rating,co2_emissions_tons_per_voyage,carbon_tax_cost_usd
2024-05-27,Capesize,77.75,C,2044.06,102983.83
2024-05-28,Handysize,77.63,B,552.68,13901.07
2024-05-28,Supramax,77.63,B,819.67,27488.58
2024-05-28,Panamax,77.63,B,1121.07,46995.48
2024-05-28,Capesize,77.63,C,2203.29,110834.83
2024-05-29,Handysize,76.35,B,563.06,13928.64
2024-05-29,Supramax,76.35,E,817.01,26947.6
2024-05-29,Panamax,76.35,C,1120.32,46189.67
2024-05-29,Capesize,76.35,D,2180.34,107871.89
2024-05-30,Handysize,75.46,D,533.33,13039.41
2024-05-30,Supramax,75.46,D,819.9,26727.69
2024-05-30,Panamax,75.46,B,1103.92,44982.97
2024-05-30,Capesize,75.46,C,2049.09,100196.57
2024-05-31,Handysize,75.47,C,554.07,13548.27
2024-05-31,Supramax,75.47,B,820.28,26743.62
2024-05-31,Panamax,75.47,B,1130.5,46072.17
2024-05-31,Capesize,75.47,D,2143.4,104822.03
2024-06-03,Handysize,75.08,D,538.26,13093.67
2024-06-03,Supramax,75.08,C,843.21,27349.15
2024-06-03,Panamax,75.08,C,1185.7,48072.07
2024-06-03,Capesize,75.08,A,2163.59,105262.63
2024-06-04,Handysize,74.25,A,568.09,13666.54
2024-06-04,Supramax,74.25,B,798.76,25621.03
2024-06-04,Panamax,74.25,A,1202.84,48227.87
2024-06-04,Capesize,74.25,A,2183.04,105034.79
2024-06-05,Handysize,72.63,C,563.08,13250.47
2024-06-05,Supramax,72.63,C,847.59,26594.12
2024-06-05,Panamax,72.63,B,1191.07,46714.0
2024-06-05,Capesize,72.63,C,2199.12,103499.91
2024-06-06,Handysize,72.33,C,552.59,12949.9
2024-06-06,Supramax,72.33,C,797.22,24910.38
2024-06-06,Panamax,72.33,A,1146.68,44787.26
2024-06-06,Capesize,72.33,C,2018.03,94584.74
2024-06-07,Handysize,72.27,C,539.32,12628.44
2024-06-07,Supramax,72.27,E,846.01,26412.97
2024-06-07,Panamax,72.27,D,1166.76,45533.74
2024-06-07,Capesize,72.27,A,2145.64,100482.38
2024-06-10,Handysize,73.86,B,562.05,13450.22
2024-06-10,Supramax,73.86,D,779.28,24864.89
2024-06-10,Panamax,73.86,A,1132.25,45159.11
2024-06-10,Capesize,73.86,C,2039.0,97589.15
2024-06-11,Handysize,74.15,D,537.62,12916.11
2024-06-11,Supramax,74.15,C,809.21,25921.26
2024-06-11,Panamax,74.15,A,1207.0,48329.49
2024-06-11,Capesize,74.15,B,2022.05,97157.88
2024-06-12,Handysize,73.74,B,564.42,13484.99
2024-06-12,Supramax,73.74,C,787.28,25079.34
2024-06-12,Panamax,73.74,B,1118.36,44532.65
2024-06-12,Capesize,73.74,B,2083.7,99566.52
2024-06-13,Handysize,73.24,E,523.5,12422.53
2024-06-13,Supramax,73.24,C,855.28,27060.79
2024-06-13,Panamax,73.24,B,1160.14,45883.07
2024-06-13,Capesize,73.24,A,2170.81,103025.6
2024-06-14,Handysize,72.51,B,559.89,13153.63
2024-06-14,Supramax,72.51,B,837.17,26223.78
2024-06-14,Panamax,72.51,B,1120.96,43891.64
2024-06-14,Capesize,72.51,B,2016.03,94726.15
2024-06-17,Handysize,72.37,A,563.51,13213.11
2024-06-17,Supramax,72.37,C,829.31,25927.42
2024-06-17,Panamax,72.37,A,1197.09,46782.04
2024-06-17,Capesize,72.37,C,2128.33,99809.65
2024-06-18,Handysize,73.42,C,534.99,12726.38
2024-06-18,Supramax,73.42,E,785.23,24905.49
2024-06-18,Panamax,73.42,E,1192.59,47282.38
2024-06-18,Capesize,73.42,D,1998.48,95080.0
2024-06-19,Handysize,72.83,D,555.81,13115.4
2024-06-19,Supramax,72.83,B,785.25,24705.98
2024-06-19,Panamax,72.83,B,1196.75,47066.02
2024-06-19,Capesize,72.83,A,2018.92,95280.59
2024-06-20,Handysize,73.12,B,572.6,13565.4
2024-06-20,Supramax,73.12,C,780.36,24649.89
2024-06-20,Panamax,73.12,B,1093.38,43171.89
2024-06-20,Capesize,73.12,B,2069.03,98034.28
2024-06-21,Handysize,71.91,B,548.53,12780.11
2024-06-21,Supramax,71.91,D,810.35,25173.62
2024-06-21,Panamax,71.91,C,1117.98,43412.73
2024-06-21,Capesize,71.91,B,2129.39,99224.63
2024-06-24,Handysize,73.44,B,563.16,13400.14
2024-06-24,Supramax,73.44,C,823.03,26111.52
2024-06-24,Panamax,73.44,A,1155.37,45819.2
2024-06-24,Capesize,73.44,B,2054.5,97771.85
