date,currency_pair,exchange_rate,daily_change_pct
2024-10-31,USD/INR,87.066,0.32
2024-11-01,USD/INR,87.1703,0.12
2024-11-04,USD/INR,87.0232,-0.17
2024-11-05,USD/INR,87.0616,0.04
2024-11-06,USD/INR,86.9534,-0.12
2024-11-07,USD/INR,86.9904,0.04
2024-11-08,USD/INR,87.2316,0.28
2024-11-11,USD/INR,87.1493,-0.09
2024-11-12,USD/INR,87.0486,-0.12
2024-11-13,USD/INR,86.8539,-0.22
2024-11-14,USD/INR,87.0237,0.2
2024-11-15,USD/INR,87.008,-0.02
2024-11-18,USD/INR,87.2158,0.24
2024-11-19,USD/INR,87.1048,-0.13
2024-11-20,USD/INR,87.5595,0.52
2024-11-21,USD/INR,87.21,-0.4
2024-11-22,USD/INR,87.3061,0.11
2024-11-25,USD/INR,87.153,-0.18
2024-11-26,USD/INR,87.2099,0.07
2024-11-27,USD/INR,87.1841,-0.03
2024-11-28,USD/INR,87.1225,-0.07
2024-11-29,USD/INR,87.1083,-0.02
2024-12-02,USD/INR,87.1133,0.01
2024-12-03,USD/INR,87.1794,0.08
2024-12-04,USD/INR,87.2305,0.06
2024-12-05,USD/INR,87.088,-0.16
2024-12-06,USD/INR,87.3254,0.27
2024-12-09,USD/INR,87.4149,0.1
2024-12-10,USD/INR,87.3065,-0.12
2024-12-11,USD/INR,87.74,0.5
2024-12-12,USD/INR,87.9589,0.25
2024-12-13,USD/INR,87.9828,0.03
2024-12-16,USD/INR,87.7668,-0.25
2024-12-17,USD/INR,87.5979,-0.19
2024-12-18,USD/INR,87.5166,-0.09
2024-12-19,USD/INR,87.3615,-0.18
2024-12-20,USD/INR,87.4359,0.09
2024-12-23,USD/INR,87.6527,0.25
2024-12-24,USD/INR,87.5806,-0.08
2024-12-25,USD/INR,87.917,0.38
2024-12-26,USD/INR,88.024,0.12
2024-12-27,USD/INR,88.0231,-0.0
2024-12-30,USD/INR,87.8821,-0.16
2024-12-31,USD/INR,87.7409,-0.16
2025-01-01,USD/INR,87.9215,0.21
2025-01-02,USD/INR,87.459,-0.53
2025-01-03,USD/INR,87.4909,0.04
2025-01-06,USD/INR,87.6169,0.14
2025-01-07,USD/INR,87.5749,-0.05
2025-01-08,USD/INR,87.6807,0.12
2025-01-09,USD/INR,87.6755,-0.01
2025-01-10,USD/INR,87.95,0.31
2025-01-13,USD/INR,88.0108,0.07
2025-01-14,USD/INR,88.0642,0.06
2025-01-15,USD/INR,88.2111,0.17
2025-01-16,USD/INR,88.0599,-0.17
2025-01-17,USD/INR,87.9777,-0.09
2025-01-20,USD/INR,87.7794,-0.23
2025-01-21,USD/INR,87.8063,0.03
2025-01-22,USD/INR,87.655,-0.17
2025-01-23,USD/INR,87.8651,0.24
2025-01-24,USD/INR,88.1236,0.29
2025-01-27,USD/INR,88.1226,-0.0
2025-01-28,USD/INR,87.8029,-0.36
2025-01-29,USD/INR,88.2243,0.48
2025-01-30,USD/INR,88.0994,-0.14
2025-01-31,USD/INR,87.972,-0.14
2025-02-03,USD/INR,88.0073,0.04
2025-02-04,USD/INR,87.918,-0.1
2025-02-05,USD/INR,87.8423,-0.09
2025-02-06,USD/INR,87.79,-0.06
2025-02-07,USD/INR,87.6676,-0.14
2025-02-10,USD/INR,87.7864,0.14
2025-02-11,USD/INR,87.8333,0.05
2025-02-12,USD/INR,88.0492,0.25
2025-02-13,USD/INR,88.223,0.2
2025-02-14,USD/INR,88.0459,-0.2
2025-02-17,USD/INR,88.3793,0.38
2025-02-18,USD/INR,88.4778,0.11
2025-02-19,USD/INR,88.329,-0.17
2025-02-20,USD/INR,88.2207,-0.12
2025-02-21,USD/INR,87.961,-0.29
2025-02-24,USD/INR,87.6666,-0.33
2025-02-25,USD/INR,87.93,0.3
2025-02-26,USD/INR,87.6611,-0.31
2025-02-27,USD/INR,87.3228,-0.39
2025-02-28,USD/INR,87.0988,-0.26
2025-03-03,USD/INR,87.1421,0.05
2025-03-04,USD/INR,86.8783,-0.3
2025-03-05,USD/INR,86.8747,-0.0
2025-03-06,USD/INR,86.6581,-0.25
2025-03-07,USD/INR,86.9279,0.31
2025-03-10,USD/INR,87.367,0.51
2025-03-11,USD/INR,87.3284,-0.04
2025-03-12,USD/INR,87.3168,-0.01
2025-03-13,USD/INR,87.2486,-0.08
2025-03-14,USD/INR,87.3895,0.16
2025-03-17,USD/INR,87.3802,-0.01
2025-03-18,USD/INR,87.3881,0.01
2025-03-19,USD/INR,87.2126,-0.2
2025-03-20,USD/INR,87.1387,-0.08
2025-03-21,USD/INR,87.1565,0.02
2025-03-24,USD/INR,87.14,-0.02
2025-03-25,USD/INR,87.5106,0.43
2025-03-26,USD/INR,87.5191,0.01
2025-03-27,USD/INR,87.5105,-0.01
2025-03-28,USD/INR,87.4137,-0.11
2025-03-31,USD/INR,87.3966,-0.02
2025-04-01,USD/INR,87.5453,0.17
2025-04-02,USD/INR,87.5884,0.05
2025-04-03,USD/INR,87.4343,-0.18
2025-04-04,USD/INR,87.5828,0.17
2025-04-07,USD/INR,87.4234,-0.18
2025-04-08,USD/INR,87.2513,-0.2
2025-04-09,USD/INR,87.2802,0.03
2025-04-10,USD/INR,87.241,-0.04
2025-04-11,USD/INR,87.0847,-0.18
2025-04-14,USD/INR,87.5223,0.5
2025-04-15,USD/INR,87.4517,-0.08
2025-04-16,USD/INR,87.471,0.02
2025-04-17,USD/INR,87.6245,0.18
2025-04-18,USD/INR,87.655,0.03
2025-04-21,USD/INR,87.5968,-0.07
2025-04-22,USD/INR,87.7923,0.22
2025-04-23,USD/INR,87.9586,0.19
2025-04-24,USD/INR,87.6893,-0.31
2025-04-25,USD/INR,88.0179,0.37
2025-04-28,USD/INR,88.2403,0.25
2025-04-29,USD/INR,88.37,0.15
2025-04-30,USD/INR,88.3401,-0.03
2025-05-01,USD/INR,88.1503,-0.21
2025-05-02,USD/INR,88.0134,-0.16
2025-05-05,USD/INR,88.0785,0.07
2025-05-06,USD/INR,88.0855,0.01
2025-05-07,USD/INR,88.1074,0.02
2025-05-08,USD/INR,88.0687,-0.04
2025-05-09,USD/INR,88.418,0.4
2025-05-12,USD/INR,88.7798,0.41
2025-05-13,USD/INR,88.7488,-0.03
2025-05-14,USD/INR,88.572,-0.2
2025-05-15,USD/INR,88.5787,0.01
2025-05-16,USD/INR,88.6074,0.03
2025-05-19,USD/INR,88.6119,0.01
2025-05-20,USD/INR,88.8532,0.27
2025-05-21,USD/INR,88.8539,0.0
2025-05-22,USD/INR,88.8067,-0.05
2025-05-23,USD/INR,88.7002,-0.12
2025-05-26,USD/INR,88.637,-0.07
2025-05-27,USD/INR,88.705,0.08
2025-05-28,USD/INR,88.7074,0.0
2025-05-29,USD/INR,88.75,0.05
2025-05-30,USD/INR,88.7452,-0.01
2025-06-02,USD/INR,88.9043,0.18
2025-06-03,USD/INR,89.16,0.29
2025-06-04,USD/INR,89.1921,0.04
2025-06-05,USD/INR,89.3738,0.2
2025-06-06,USD/INR,89.7095,0.38
2025-06-09,USD/INR,89.5573,-0.17
2025-06-10,USD/INR,89.5859,0.03
2025-06-11,USD/INR,89.2699,-0.35
2025-06-12,USD/INR,89.2317,-0.04
2025-06-13,USD/INR,89.1341,-0.11
2025-06-16,USD/INR,88.902,-0.26
2025-06-17,USD/INR,88.8896,-0.01
2025-06-18,USD/INR,89.0095,0.13
2025-06-19,USD/INR,89.155,0.16
2025-06-20,USD/INR,89.4292,0.31
2025-06-23,USD/INR,89.5467,0.13
2025-06-24,USD/INR,89.7647,0.24
2025-06-25,USD/INR,89.6398,-0.14
2025-06-26,USD/INR,89.5016,-0.15
2025-06-27,USD/INR,89.311,-0.21
2025-06-30,USD/INR,89.2301,-0.09
2025-07-01,USD/INR,88.8484,-0.43
2025-07-02,USD/INR,88.8745,0.03
2025-07-03,USD/INR,89.0095,0.15
2025-07-04,USD/INR,88.8978,-0.13
2025-07-07,USD/INR,89.0047,0.12
2025-07-08,USD/INR,89.0399,0.04
2025-07-09,USD/INR,89.1855,0.16
2025-07-10,USD/INR,89.607,0.47
2025-07-11,USD/INR,89.5777,-0.03
2025-07-14,USD/INR,89.6669,0.1
2025-07-15,USD/INR,89.9053,0.27
2025-07-16,USD/INR,90.2827,0.42
2025-07-17,USD/INR,90.2217,-0.07
2025-07-18,USD/INR,89.8472,-0.42
2025-07-21,USD/INR,89.669,-0.2
2025-07-22,USD/INR,89.5708,-0.11
2025-07-23,USD/INR,89.6455,0.08
2025-07-24,USD/INR,89.7821,0.15
2025-07-25,USD/INR,90.1596,0.42
2025-07-28,USD/INR,89.9248,-0.26
2025-07-29,USD/INR,89.8615,-0.07
2025-07-30,USD/INR,89.9452,0.09
2025-07-31,USD/INR,89.8309,-0.13
2025-08-01,USD/INR,89.5982,-0.26
2025-08-04,USD/INR,89.4437,-0.17
2025-08-05,USD/INR,89.3901,-0.06
2025-08-06,USD/INR,89.3423,-0.05
2025-08-07,USD/INR,89.4164,0.08
2025-08-08,USD/INR,89.217,-0.22
2025-08-11,USD/INR,89.1414,-0.08
2025-08-12,USD/INR,88.982,-0.18
2025-08-13,USD/INR,88.9071,-0.08
2025-08-14,USD/INR,89.1037,0.22
2025-08-15,USD/INR,89.2545,0.17
2025-08-18,USD/INR,89.2009,-0.06
2025-08-19,USD/INR,89.0199,-0.2
2025-08-20,USD/INR,89.0452,0.03
2025-08-21,USD/INR,89.0721,0.03
2025-08-22,USD/INR,89.2009,0.14
2025-08-25,USD/INR,88.9625,-0.27
2025-08-26,USD/INR,89.2748,0.35
2025-08-27,USD/INR,89.2315,-0.05
2025-08-28,USD/INR,89.3367,0.12
2025-08-29,USD/INR,89.143,-0.22
2025-09-01,USD/INR,89.0217,-0.14
2025-09-02,USD/INR,89.3748,0.4
2025-09-03,USD/INR,89.635,0.29
2025-09-04,USD/INR,90.1111,0.53
2025-09-05,USD/INR,90.2566,0.16
2025-09-08,USD/INR,90.2317,-0.03
2025-09-09,USD/INR,90.2709,0.04
2025-09-10,USD/INR,90.4626,0.21
2025-09-11,USD/INR,90.3467,-0.13
2025-09-12,USD/INR,90.6529,0.34
2025-09-15,USD/INR,90.7018,0.05
2025-09-16,USD/INR,90.8344,0.15
2025-09-17,USD/INR,90.8234,-0.01
2025-09-18,USD/INR,90.546,-0.31
2025-09-19,USD/INR,90.7708,0.25
2025-09-22,USD/INR,90.6005,-0.19
2025-09-23,USD/INR,90.7211,0.13
2025-09-24,USD/INR,90.7599,0.04
2025-09-25,USD/INR,90.8688,0.12
2025-09-26,USD/INR,90.769,-0.11
2025-09-29,USD/INR,90.9761,0.23
2025-09-30,USD/INR,90.6484,-0.36
2025-10-01,USD/INR,91.1345,0.54
2025-10-02,USD/INR,90.9479,-0.2
2025-10-03,USD/INR,90.9542,0.01
2025-10-06,USD/INR,90.9968,0.05
2025-10-07,USD/INR,90.7354,-0.29
2025-10-08,USD/INR,91.2338,0.55
2025-10-09,USD/INR,91.1779,-0.06
2025-10-10,USD/INR,91.1085,-0.08
2025-10-13,USD/INR,91.0427,-0.07
2025-10-14,USD/INR,91.0208,-0.02
2025-10-15,USD/INR,91.0278,0.01
2025-10-16,USD/INR,90.7957,-0.26
2025-10-17,USD/INR,90.6756,-0.13
2025-10-20,USD/INR,90.5006,-0.19
2025-10-21,USD/INR,90.5854,0.09
2025-10-22,USD/INR,90.339,-0.27
2025-10-23,USD/INR,90.0318,-0.34
2025-10-24,USD/INR,90.02,-0.01
2025-10-27,USD/INR,90.12,0.11
2025-10-28,USD/INR,89.741,-0.42
2025-10-29,USD/INR,89.6292,-0.12
2025-10-30,USD/INR,89.4465,-0.2
2025-10-31,USD/INR,89.6483,0.23
2025-11-03,USD/INR,89.6142,-0.04
2025-11-04,USD/INR,89.4637,-0.17
2025-11-05,USD/INR,89.661,0.22
2025-11-06,USD/INR,89.5829,-0.09
2025-11-07,USD/INR,89.6328,0.06
2025-11-10,USD/INR,89.8125,0.2
2025-11-11,USD/INR,89.5871,-0.25
2025-11-12,USD/INR,89.6209,0.04
2025-11-13,USD/INR,89.5568,-0.07
2025-11-14,USD/INR,90.0853,0.59
2025-11-17,USD/INR,89.7325,-0.39
2025-11-18,USD/INR,89.8489,0.13
2025-11-19,USD/INR,90.0497,0.22
2025-11-20,USD/INR,90.1646,0.13
2025-11-21,USD/INR,90.0236,-0.16
2025-11-24,USD/INR,89.7232,-0.33
2025-11-25,USD/INR,89.5813,-0.16
2025-11-26,USD/INR,89.1312,-0.5
2025-11-27,USD/INR,89.2299,0.11
2025-11-28,USD/INR,89.1701,-0.07
2025-12-01,USD/INR,88.9322,-0.27
2025-12-02,USD/INR,89.0812,0.17
2025-12-03,USD/INR,89.0771,-0.0
2025-12-04,USD/INR,89.0289,-0.05
2025-12-05,USD/INR,89.1675,0.16
2025-12-08,USD/INR,89.2334,0.07
2025-12-09,USD/INR,89.278,0.05
2025-12-10,USD/INR,89.2598,-0.02
2025-12-11,USD/INR,89.2683,0.01
2025-12-12,USD/INR,89.3007,0.04
2025-12-15,USD/INR,89.2536,-0.05
2025-12-16,USD/INR,89.2651,0.01
2025-12-17,USD/INR,88.9475,-0.36
2025-12-18,USD/INR,88.588,-0.4
2025-12-19,USD/INR,88.7269,0.16
2025-12-22,USD/INR,88.4591,-0.3
2025-12-23,USD/INR,88.7185,0.29
2025-12-24,USD/INR,88.9225,0.23
2025-12-25,USD/INR,89.0862,0.18
2025-12-26,USD/INR,89.1781,0.1
2025-12-29,USD/INR,89.162,-0.02
2025-12-30,USD/INR,89.5158,0.4
2025-12-31,USD/INR,89.7347,0.24
2026-01-01,USD/INR,89.833,0.11
2026-01-02,USD/INR,89.9486,0.13
2026-01-05,USD/INR,90.3562,0.45
2026-01-06,USD/INR,90.2874,-0.08
2026-01-07,USD/INR,90.0557,-0.26
2026-01-08,USD/INR,90.1061,0.06
2026-01-09,USD/INR,90.0087,-0.11
2026-01-12,USD/INR,90.2486,0.27
2026-01-13,USD/INR,90.4004,0.17
2026-01-14,USD/INR,90.131,-0.3
2026-01-15,USD/INR,90.245,0.13
2026-01-16,USD/INR,90.376,0.15
2026-01-19,USD/INR,90.228,-0.16
2026-01-20,USD/INR,89.9514,-0.31
2026-01-21,USD/INR,89.872,-0.09
2026-01-22,USD/INR,89.8817,0.01
2026-01-23,USD/INR,89.5225,-0.4
2026-01-26,USD/INR,89.1987,-0.36
2026-01-27,USD/INR,89.2615,0.07
2026-01-28,USD/INR,89.2044,-0.06
2026-01-29,USD/INR,89.411,0.23
2026-01-30,USD/INR,89.5205,0.12
2026-02-02,USD/INR,89.5303,0.01
2026-02-03,USD/INR,89.3789,-0.17
2026-02-04,USD/INR,89.1148,-0.3
2026-02-05,USD/INR,88.8239,-0.33
2026-02-06,USD/INR,88.5724,-0.28
2026-02-09,USD/INR,88.6216,0.06
2026-02-10,USD/INR,88.803,0.2
2026-02-11,USD/INR,88.8113,0.01
2026-02-12,USD/INR,89.1353,0.36
2026-02-13,USD/INR,89.055,-0.09
2026-02-16,USD/INR,89.0589,0.0
2026-02-17,USD/INR,88.7696,-0.32
2026-02-18,USD/INR,88.6417,-0.14
2026-02-19,USD/INR,88.7697,0.14
2026-02-20,USD/INR,89.0788,0.35
2026-02-23,USD/INR,89.0582,-0.02
2026-02-24,USD/INR,89.2277,0.19
2026-02-25,USD/INR,89.1167,-0.12
2026-02-26,USD/INR,89.2915,0.2
2026-02-27,USD/INR,89.3165,0.03
2026-03-02,USD/INR,89.1275,-0.21
2026-03-03,USD/INR,89.0124,-0.13
2026-03-04,USD/INR,89.4095,0.45
2026-03-05,USD/INR,89.4856,0.09
2026-03-06,USD/INR,89.636,0.17
2026-03-09,USD/INR,89.5156,-0.13
2026-03-10,USD/INR,89.6373,0.14
2026-03-11,USD/INR,89.6555,0.02
2026-03-12,USD/INR,89.8732,0.24
2026-03-13,USD/INR,90.0576,0.21
2026-03-16,USD/INR,89.8997,-0.18
2026-03-17,USD/INR,90.063,0.18
2026-03-18,USD/INR,90.0379,-0.03
2026-03-19,USD/INR,90.0368,-0.0
2026-03-20,USD/INR,90.2809,0.27
2026-03-23,USD/INR,90.1784,-0.11
2026-03-24,USD/INR,89.869,-0.34
2026-03-25,USD/INR,89.7627,-0.12
2026-03-26,USD/INR,89.6954,-0.08
2026-03-27,USD/INR,89.6731,-0.02
2026-03-30,USD/INR,89.8384,0.18
2026-03-31,USD/INR,89.9432,0.12
2026-04-01,USD/INR,89.9547,0.01
2026-04-02,USD/INR,90.1486,0.22
2026-04-03,USD/INR,90.2058,0.06
2026-04-06,USD/INR,89.9247,-0.31
2026-04-07,USD/INR,89.8491,-0.08
2026-04-08,USD/INR,89.8507,0.0
2026-04-09,USD/INR,89.9054,0.06
2026-04-10,USD/INR,90.294,0.43
2026-04-13,USD/INR,90.2004,-0.1
2026-04-14,USD/INR,90.2928,0.1
2026-04-15,USD/INR,90.0769,-0.24
2026-04-16,USD/INR,90.0255,-0.06
2026-04-17,USD/INR,89.5787,-0.5
2026-04-20,USD/INR,89.8013,0.25
2026-04-21,USD/INR,89.7517,-0.06
2026-04-22,USD/INR,89.8981,0.16
2026-04-23,USD/INR,90.1355,0.26
2026-04-24,USD/INR,90.0301,-0.12
2026-04-27,USD/INR,89.9118,-0.13
2026-04-28,USD/INR,89.8981,-0.02
2026-04-29,USD/INR,90.161,0.29
2026-04-30,USD/INR,90.1905,0.03
2026-05-01,USD/INR,90.1945,0.0
2026-05-04,USD/INR,90.0877,-0.12
2026-05-05,USD/INR,90.5323,0.49
2026-05-06,USD/INR,90.3349,-0.22
2026-05-07,USD/INR,90.0248,-0.34
2026-05-08,USD/INR,89.73,-0.33
2026-05-11,USD/INR,89.6988,-0.03
2026-05-12,USD/INR,89.7666,0.08
2026-05-13,USD/INR,90.2192,0.5
2026-05-14,USD/INR,90.5383,0.35
2026-05-15,USD/INR,90.5177,-0.02
2026-05-18,USD/INR,90.5453,0.03
2026-05-19,USD/INR,90.6602,0.13
2026-05-20,USD/INR,90.8716,0.23
2026-05-21,USD/INR,90.9527,0.09
