date,origin_port,destination_port,vessel_class,route_distance_nm,freight_rate_usd_per_ton
2024-03-04,Norfolk,Dhamra,Capesize,9180,30.18
2024-03-04,Norfolk,Gangavaram,Capesize,9100,29.3
2024-03-04,Norfolk,Haldia,Supramax,9280,42.03
2024-03-04,Norfolk,Gopalpur,Panamax,9130,36.46
2024-03-11,Newcastle,Paradip,Panamax,4820,20.97
2024-03-11,Newcastle,Visakhapatnam (Outer),Capesize,4870,17.5
2024-03-11,Newcastle,Visakhapatnam (Inner),Panamax,4870,21.82
2024-03-11,Newcastle,Dhamra,Capesize,4800,17.31
2024-03-11,Newcastle,Gangavaram,Capesize,4880,18.07
2024-03-11,Newcastle,Haldia,Supramax,4950,24.6
2024-03-11,Newcastle,Gopalpur,Panamax,4840,21.46
2024-03-11,Samarinda,Paradip,Panamax,2150,10.61
2024-03-11,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.68
2024-03-11,Samarinda,Visakhapatnam (Inner),Supramax,2190,12.35
2024-03-11,Samarinda,Dhamra,Panamax,2130,10.52
2024-03-11,Samarinda,Gangavaram,Panamax,2200,11.07
2024-03-11,Samarinda,Haldia,Handysize,2280,14.47
2024-03-11,Samarinda,Gopalpur,Supramax,2160,12.47
2024-03-11,Richards Bay,Paradip,Capesize,4450,16.13
2024-03-11,Richards Bay,Visakhapatnam (Outer),Capesize,4410,16.29
2024-03-11,Richards Bay,Visakhapatnam (Inner),Panamax,4410,19.82
2024-03-11,Richards Bay,Dhamra,Capesize,4480,16.23
2024-03-11,Richards Bay,Gangavaram,Capesize,4400,16.31
2024-03-11,Richards Bay,Haldia,Supramax,4580,23.3
2024-03-11,Richards Bay,Gopalpur,Panamax,4430,20.0
2024-03-11,Maputo,Paradip,Panamax,4250,19.16
2024-03-11,Maputo,Visakhapatnam (Outer),Panamax,4210,18.72
2024-03-11,Maputo,Visakhapatnam (Inner),Supramax,4210,21.66
2024-03-11,Maputo,Dhamra,Panamax,4280,19.28
2024-03-11,Maputo,Gangavaram,Panamax,4200,18.83
2024-03-11,Maputo,Haldia,Handysize,4380,25.72
2024-03-11,Maputo,Gopalpur,Supramax,4230,21.76
2024-03-11,Norfolk,Paradip,Capesize,9150,30.55
2024-03-11,Norfolk,Visakhapatnam (Outer),Capesize,9110,29.55
2024-03-11,Norfolk,Visakhapatnam (Inner),Panamax,9110,36.57
2024-03-11,Norfolk,Dhamra,Capesize,9180,30.95
2024-03-11,Norfolk,Gangavaram,Capesize,9100,30.44
2024-03-11,Norfolk,Haldia,Supramax,9280,43.66
2024-03-11,Norfolk,Gopalpur,Panamax,9130,36.78
2024-03-18,Newcastle,Paradip,Panamax,4820,20.77
2024-03-18,Newcastle,Visakhapatnam (Outer),Capesize,4870,17.58
2024-03-18,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.64
2024-03-18,Newcastle,Dhamra,Capesize,4800,17.35
2024-03-18,Newcastle,Gangavaram,Capesize,4880,17.53
2024-03-18,Newcastle,Haldia,Supramax,4950,24.06
2024-03-18,Newcastle,Gopalpur,Panamax,4840,20.6
2024-03-18,Samarinda,Paradip,Panamax,2150,10.56
2024-03-18,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.68
2024-03-18,Samarinda,Visakhapatnam (Inner),Supramax,2190,12.47
2024-03-18,Samarinda,Dhamra,Panamax,2130,10.63
2024-03-18,Samarinda,Gangavaram,Panamax,2200,10.94
2024-03-18,Samarinda,Haldia,Handysize,2280,14.22
2024-03-18,Samarinda,Gopalpur,Supramax,2160,11.87
2024-03-18,Richards Bay,Paradip,Capesize,4450,16.24
2024-03-18,Richards Bay,Visakhapatnam (Outer),Capesize,4410,16.24
2024-03-18,Richards Bay,Visakhapatnam (Inner),Panamax,4410,19.46
2024-03-18,Richards Bay,Dhamra,Capesize,4480,16.18
2024-03-18,Richards Bay,Gangavaram,Capesize,4400,16.25
2024-03-18,Richards Bay,Haldia,Supramax,4580,23.19
2024-03-18,Richards Bay,Gopalpur,Panamax,4430,19.9
2024-03-18,Maputo,Paradip,Panamax,4250,18.97
2024-03-18,Maputo,Visakhapatnam (Outer),Panamax,4210,19.0
2024-03-18,Maputo,Visakhapatnam (Inner),Supramax,4210,21.2
2024-03-18,Maputo,Dhamra,Panamax,4280,18.68
2024-03-18,Maputo,Gangavaram,Panamax,4200,18.24
2024-03-18,Maputo,Haldia,Handysize,4380,25.47
2024-03-18,Maputo,Gopalpur,Supramax,4230,21.41
2024-03-18,Norfolk,Paradip,Capesize,9150,29.59
2024-03-18,Norfolk,Visakhapatnam (Outer),Capesize,9110,30.28
2024-03-18,Norfolk,Visakhapatnam (Inner),Panamax,9110,36.0
2024-03-18,Norfolk,Dhamra,Capesize,9180,29.99
2024-03-18,Norfolk,Gangavaram,Capesize,9100,28.95
2024-03-18,Norfolk,Haldia,Supramax,9280,41.98
2024-03-18,Norfolk,Gopalpur,Panamax,9130,36.17
2024-03-25,Newcastle,Paradip,Panamax,4820,21.28
