date,port_name,vessels_at_anchor,vessels_at_berth,avg_waiting_time_days,congestion_level
2024-01-09,Gangavaram,3,3,0.56,Low
2024-01-09,Haldia,7,6,2.62,Medium
2024-01-09,Gopalpur,2,2,0.65,Low
2024-01-09,Newcastle,9,7,1.86,Medium
2024-01-09,Samarinda,7,3,1.28,Low
2024-01-09,Richards Bay,9,5,2.2,Medium
2024-01-09,Maputo,5,2,1.15,Low
2024-01-09,Norfolk,5,4,0.87,Low
2024-01-10,Paradip,11,5,3.03,Medium
2024-01-10,Visakhapatnam (Outer),6,4,1.69,Medium
2024-01-10,Visakhapatnam (Inner),5,4,1.58,Medium
2024-01-10,Dhamra,5,5,1.11,Low
2024-01-10,Gangavaram,3,4,0.92,Low
2024-01-10,Haldia,16,4,5.75,High
2024-01-10,Gopalpur,3,3,0.6,Low
2024-01-10,Newcastle,8,6,1.89,Medium
2024-01-10,Samarinda,6,6,1.11,Low
2024-01-10,Richards Bay,6,6,1.6,Medium
2024-01-10,Maputo,5,3,1.1,Low
2024-01-10,Norfolk,4,5,1.01,Low
2024-01-11,Paradip,6,6,1.67,Medium
2024-01-11,Visakhapatnam (Outer),4,3,1.12,Low
2024-01-11,Visakhapatnam (Inner),7,6,2.04,Medium
2024-01-11,Dhamra,4,3,1.21,Low
2024-01-11,Gangavaram,4,1,0.8,Low
2024-01-11,Haldia,14,6,5.11,High
2024-01-11,Gopalpur,3,1,0.66,Low
2024-01-11,Newcastle,5,7,1.22,Low
2024-01-11,Samarinda,7,5,1.29,Low
2024-01-11,Richards Bay,10,7,2.4,Medium
2024-01-11,Maputo,5,2,1.19,Low
2024-01-11,Norfolk,2,3,0.64,Low
2024-01-12,Paradip,13,6,3.4,Medium
2024-01-12,Visakhapatnam (Outer),10,3,2.33,Medium
2024-01-12,Visakhapatnam (Inner),7,6,1.83,Medium
2024-01-12,Dhamra,5,2,1.08,Low
2024-01-12,Gangavaram,4,4,1.08,Low
2024-01-12,Haldia,14,5,5.23,High
2024-01-12,Gopalpur,2,2,0.57,Low
2024-01-12,Newcastle,10,7,1.92,Medium
2024-01-12,Samarinda,8,5,1.68,Medium
2024-01-12,Richards Bay,8,5,1.99,Medium
2024-01-12,Maputo,6,2,1.16,Low
2024-01-12,Norfolk,4,2,0.77,Low
2024-01-15,Paradip,8,5,2.47,Medium
2024-01-15,Visakhapatnam (Outer),7,5,1.52,Medium
2024-01-15,Visakhapatnam (Inner),9,5,2.43,Medium
2024-01-15,Dhamra,5,3,1.21,Low
2024-01-15,Gangavaram,4,2,0.95,Low
2024-01-15,Haldia,10,5,3.62,High
2024-01-15,Gopalpur,2,1,0.54,Low
2024-01-15,Newcastle,17,8,3.4,Medium
2024-01-15,Samarinda,9,6,1.65,Medium
2024-01-15,Richards Bay,10,4,2.25,Medium
2024-01-15,Maputo,4,3,1.13,Low
2024-01-15,Norfolk,4,2,0.72,Low
2024-01-16,Paradip,11,6,2.98,Medium
2024-01-16,Visakhapatnam (Outer),4,5,0.95,Low
2024-01-16,Visakhapatnam (Inner),7,5,2.02,Medium
2024-01-16,Dhamra,4,4,0.93,Low
2024-01-16,Gangavaram,5,2,0.99,Low
2024-01-16,Haldia,12,5,4.65,High
2024-01-16,Gopalpur,3,1,0.56,Low
2024-01-16,Newcastle,14,7,2.75,Medium
2024-01-16,Samarinda,10,6,1.78,Medium
2024-01-16,Richards Bay,10,4,2.43,Medium
2024-01-16,Maputo,2,1,0.64,Low
2024-01-16,Norfolk,4,4,1.02,Low
2024-01-17,Paradip,9,5,2.41,Medium
2024-01-17,Visakhapatnam (Outer),6,4,1.43,Low
2024-01-17,Visakhapatnam (Inner),10,4,2.48,Medium
2024-01-17,Dhamra,6,3,1.19,Low
2024-01-17,Gangavaram,6,3,1.4,Low
2024-01-17,Haldia,9,4,3.46,Medium
2024-01-17,Gopalpur,4,1,0.66,Low
2024-01-17,Newcastle,21,6,4.11,High
2024-01-17,Samarinda,7,7,1.53,Medium
2024-01-17,Richards Bay,9,6,2.28,Medium
2024-01-17,Maputo,4,5,1.06,Low
2024-01-17,Norfolk,2,4,0.47,Low
2024-01-18,Paradip,10,6,2.81,Medium
2024-01-18,Visakhapatnam (Outer),6,4,1.67,Medium
2024-01-18,Visakhapatnam (Inner),14,4,3.49,Medium
2024-01-18,Dhamra,5,5,1.04,Low
2024-01-18,Gangavaram,1,2,0.58,Low
2024-01-18,Haldia,16,6,6.03,High
2024-01-18,Gopalpur,1,1,0.32,Low
2024-01-18,Newcastle,15,7,2.93,Medium
2024-01-18,Samarinda,8,5,1.31,Low
2024-01-18,Richards Bay,8,3,2.01,Medium
2024-01-18,Maputo,3,4,0.94,Low
2024-01-18,Norfolk,2,6,0.55,Low
2024-01-19,Paradip,6,5,1.69,Medium
2024-01-19,Visakhapatnam (Outer),8,4,2.07,Medium
2024-01-19,Visakhapatnam (Inner),8,4,1.95,Medium
2024-01-19,Dhamra,5,5,1.26,Low
2024-01-19,Gangavaram,2,1,0.43,Low
2024-01-19,Haldia,9,6,3.51,High
2024-01-19,Gopalpur,2,3,0.4,Low
2024-01-19,Newcastle,21,9,3.93,High
2024-01-19,Samarinda,8,5,1.35,Low
2024-01-19,Richards Bay,10,6,2.23,Medium
2024-01-19,Maputo,4,1,0.86,Low
2024-01-19,Norfolk,4,4,0.81,Low
2024-01-22,Paradip,8,7,2.46,Medium
2024-01-22,Visakhapatnam (Outer),4,4,1.19,Low
2024-01-22,Visakhapatnam (Inner),10,5,2.56,Medium
2024-01-22,Dhamra,3,4,1.02,Low
2024-01-22,Gangavaram,5,5,0.98,Low
2024-01-22,Haldia,16,4,5.85,High
2024-01-22,Gopalpur,2,1,0.36,Low
2024-01-22,Newcastle,10,6,2.24,Medium
2024-01-22,Samarinda,10,6,1.65,Medium
2024-01-22,Richards Bay,12,6,2.53,Medium
2024-01-22,Maputo,8,2,1.63,Medium
2024-01-22,Norfolk,2,2,0.66,Low
2024-01-23,Paradip,11,6,2.86,Medium
2024-01-23,Visakhapatnam (Outer),7,2,1.85,Medium
2024-01-23,Visakhapatnam (Inner),7,5,2.0,Medium
2024-01-23,Dhamra,7,6,1.4,Low
2024-01-23,Gangavaram,2,2,0.46,Low
2024-01-23,Haldia,12,5,4.52,High
2024-01-23,Gopalpur,3,1,0.73,Low
2024-01-23,Newcastle,11,4,2.37,Medium
2024-01-23,Samarinda,10,6,1.93,Medium
2024-01-23,Richards Bay,10,3,2.38,Medium
2024-01-23,Maputo,6,3,1.35,Low
2024-01-23,Norfolk,4,6,0.94,Low
2024-01-24,Paradip,10,5,2.72,Medium
2024-01-24,Visakhapatnam (Outer),6,3,1.51,Medium
2024-01-24,Visakhapatnam (Inner),9,4,2.22,Medium
2024-01-24,Dhamra,3,4,0.91,Low
2024-01-24,Gangavaram,2,2,0.61,Low
2024-01-24,Haldia,13,5,4.93,High
2024-01-24,Gopalpur,2,3,0.7,Low
2024-01-24,Newcastle,15,8,2.96,Medium
2024-01-24,Samarinda,6,6,1.25,Low
2024-01-24,Richards Bay,8,6,1.96,Medium
2024-01-24,Maputo,8,2,1.39,Low
2024-01-24,Norfolk,3,3,0.75,Low
2024-01-25,Paradip,10,5,2.77,Medium
2024-01-25,Visakhapatnam (Outer),5,4,1.46,Low
2024-01-25,Visakhapatnam (Inner),8,5,1.92,Medium
2024-01-25,Dhamra,5,4,1.35,Low
2024-01-25,Gangavaram,4,2,0.79,Low
2024-01-25,Haldia,7,5,2.59,Medium
2024-01-25,Gopalpur,2,1,0.65,Low
2024-01-25,Newcastle,21,8,3.93,High
2024-01-25,Samarinda,9,4,1.67,Medium
2024-01-25,Richards Bay,7,5,1.77,Medium
2024-01-25,Maputo,4,2,0.89,Low
2024-01-25,Norfolk,4,2,1.01,Low
2024-01-26,Paradip,12,5,3.3,Medium
2024-01-26,Visakhapatnam (Outer),8,2,1.76,Medium
2024-01-26,Visakhapatnam (Inner),5,4,1.4,Low
2024-01-26,Dhamra,4,4,0.93,Low
2024-01-26,Gangavaram,4,3,0.8,Low
2024-01-26,Haldia,15,7,5.6,High
2024-01-26,Gopalpur,2,1,0.52,Low
2024-01-26,Newcastle,14,11,2.81,Medium
2024-01-26,Samarinda,8,4,1.51,Medium
2024-01-26,Richards Bay,9,5,1.94,Medium
2024-01-26,Maputo,4,3,1.07,Low
2024-01-26,Norfolk,5,4,0.93,Low
2024-01-29,Paradip,10,5,2.66,Medium
2024-01-29,Visakhapatnam (Outer),3,3,0.93,Low
2024-01-29,Visakhapatnam (Inner),8,5,1.97,Medium
2024-01-29,Dhamra,5,4,1.3,Low
2024-01-29,Gangavaram,3,3,0.84,Low
2024-01-29,Haldia,14,4,5.31,High
2024-01-29,Gopalpur,2,2,0.66,Low
2024-01-29,Newcastle,11,8,2.29,Medium
2024-01-29,Samarinda,5,5,0.9,Low
2024-01-29,Richards Bay,3,4,0.94,Low
2024-01-29,Maputo,4,4,0.98,Low
2024-01-29,Norfolk,1,2,0.4,Low
2024-01-30,Paradip,13,6,3.62,High
2024-01-30,Visakhapatnam (Outer),7,4,1.62,Medium
2024-01-30,Visakhapatnam (Inner),7,5,1.64,Medium
2024-01-30,Dhamra,6,4,1.38,Low
2024-01-30,Gangavaram,3,2,0.94,Low
2024-01-30,Haldia,14,5,5.03,High
2024-01-30,Gopalpur,3,1,0.65,Low
2024-01-30,Newcastle,11,5,2.42,Medium
2024-01-30,Samarinda,6,7,1.07,Low
2024-01-30,Richards Bay,7,3,1.89,Medium
2024-01-30,Maputo,4,1,1.01,Low
2024-01-30,Norfolk,3,4,0.68,Low
2024-01-31,Paradip,12,4,3.22,Medium
2024-01-31,Visakhapatnam (Outer),10,2,2.16,Medium
2024-01-31,Visakhapatnam (Inner),7,5,1.7,Medium
2024-01-31,Dhamra,3,3,1.0,Low
2024-01-31,Gangavaram,3,3,0.67,Low
2024-01-31,Haldia,13,5,4.98,High
2024-01-31,Gopalpur,3,1,0.72,Low
2024-01-31,Newcastle,12,8,2.44,Medium
2024-01-31,Samarinda,10,6,1.74,Medium
2024-01-31,Richards Bay,6,4,1.4,Low
2024-01-31,Maputo,3,3,0.74,Low
2024-01-31,Norfolk,3,3,0.82,Low
2024-02-01,Paradip,13,3,3.73,High
2024-02-01,Visakhapatnam (Outer),7,5,1.52,Medium
2024-02-01,Visakhapatnam (Inner),8,4,2.21,Medium
2024-02-01,Dhamra,5,5,1.14,Low
2024-02-01,Gangavaram,4,2,0.89,Low
2024-02-01,Haldia,14,3,5.3,High
2024-02-01,Gopalpur,0,4,0.46,Low
2024-02-01,Newcastle,11,8,2.3,Medium
2024-02-01,Samarinda,8,4,1.31,Low
2024-02-01,Richards Bay,10,5,2.46,Medium
2024-02-01,Maputo,4,6,0.79,Low
2024-02-01,Norfolk,4,5,0.89,Low
2024-02-02,Paradip,6,6,1.68,Medium
2024-02-02,Visakhapatnam (Outer),4,3,0.95,Low
2024-02-02,Visakhapatnam (Inner),6,6,1.76,Medium
2024-02-02,Dhamra,5,4,1.34,Low
2024-02-02,Gangavaram,4,2,1.01,Low
2024-02-02,Haldia,13,4,4.84,High
2024-02-02,Gopalpur,2,1,0.6,Low
2024-02-02,Newcastle,21,7,4.2,High
2024-02-02,Samarinda,8,5,1.35,Low
2024-02-02,Richards Bay,8,5,2.02,Medium
2024-02-02,Maputo,5,1,0.92,Low
2024-02-02,Norfolk,4,3,0.72,Low
2024-02-05,Paradip,9,5,2.56,Medium
2024-02-05,Visakhapatnam (Outer),6,3,1.64,Medium
2024-02-05,Visakhapatnam (Inner),2,3,0.8,Low
2024-02-05,Dhamra,4,4,1.19,Low
2024-02-05,Gangavaram,6,3,1.38,Low
2024-02-05,Haldia,7,4,2.69,Medium
2024-02-05,Gopalpur,1,2,0.34,Low
2024-02-05,Newcastle,12,5,2.51,Medium
2024-02-05,Samarinda,8,3,1.33,Low
2024-02-05,Richards Bay,7,4,1.86,Medium
2024-02-05,Maputo,3,4,0.95,Low
2024-02-05,Norfolk,3,5,0.84,Low
2024-02-06,Paradip,5,4,1.73,Medium
2024-02-06,Visakhapatnam (Outer),7,4,1.82,Medium
2024-02-06,Visakhapatnam (Inner),8,4,2.16,Medium
2024-02-06,Dhamra,3,5,0.83,Low
2024-02-06,Gangavaram,5,2,1.15,Low
2024-02-06,Haldia,8,5,2.96,Medium
2024-02-06,Gopalpur,2,1,0.73,Low
2024-02-06,Newcastle,17,8,3.25,Medium
2024-02-06,Samarinda,6,6,1.2,Low
2024-02-06,Richards Bay,6,3,1.34,Low
2024-02-06,Maputo,3,3,0.65,Low
2024-02-06,Norfolk,4,4,0.9,Low
2024-02-07,Paradip,11,4,2.86,Medium
2024-02-07,Visakhapatnam (Outer),5,5,1.34,Low
2024-02-07,Visakhapatnam (Inner),12,4,2.8,Medium
2024-02-07,Dhamra,3,4,0.98,Low
2024-02-07,Gangavaram,5,2,0.95,Low
2024-02-07,Haldia,16,6,6.03,High
2024-02-07,Gopalpur,3,1,0.83,Low
2024-02-07,Newcastle,15,8,2.91,Medium
2024-02-07,Samarinda,10,7,1.62,Medium
2024-02-07,Richards Bay,10,6,2.28,Medium
2024-02-07,Maputo,4,1,0.87,Low
2024-02-07,Norfolk,4,4,1.02,Low
2024-02-08,Paradip,9,7,2.7,Medium
2024-02-08,Visakhapatnam (Outer),5,4,1.47,Low
2024-02-08,Visakhapatnam (Inner),10,5,2.68,Medium
2024-02-08,Dhamra,5,4,1.1,Low
2024-02-08,Gangavaram,4,3,1.03,Low
2024-02-08,Haldia,14,4,5.13,High
2024-02-08,Gopalpur,4,1,0.88,Low
2024-02-08,Newcastle,18,6,3.61,High
2024-02-08,Samarinda,5,5,1.03,Low
2024-02-08,Richards Bay,5,3,1.36,Low
2024-02-08,Maputo,5,3,0.95,Low
2024-02-08,Norfolk,3,2,0.91,Low
2024-02-09,Paradip,10,4,2.71,Medium
2024-02-09,Visakhapatnam (Outer),5,5,1.23,Low
2024-02-09,Visakhapatnam (Inner),6,6,1.69,Medium
2024-02-09,Dhamra,5,5,1.08,Low
2024-02-09,Gangavaram,4,3,1.1,Low
2024-02-09,Haldia,10,5,3.67,High
2024-02-09,Gopalpur,3,1,0.47,Low
2024-02-09,Newcastle,14,6,2.94,Medium
2024-02-09,Samarinda,6,5,1.05,Low
2024-02-09,Richards Bay,9,4,2.15,Medium
2024-02-09,Maputo,3,2,0.93,Low
2024-02-09,Norfolk,2,3,0.47,Low
2024-02-12,Paradip,8,7,2.37,Medium
2024-02-12,Visakhapatnam (Outer),7,2,1.6,Medium
2024-02-12,Visakhapatnam (Inner),8,4,1.97,Medium
2024-02-12,Dhamra,5,3,1.38,Low
2024-02-12,Gangavaram,5,3,1.24,Low
2024-02-12,Haldia,14,5,5.25,High
2024-02-12,Gopalpur,2,1,0.54,Low
2024-02-12,Newcastle,11,10,2.23,Medium
2024-02-12,Samarinda,8,7,1.49,Low
2024-02-12,Richards Bay,9,3,1.99,Medium
2024-02-12,Maputo,4,1,1.11,Low
2024-02-12,Norfolk,3,4,0.71,Low
2024-02-13,Paradip,5,5,1.67,Medium
2024-02-13,Visakhapatnam (Outer),5,4,1.12,Low
2024-02-13,Visakhapatnam (Inner),7,4,1.89,Medium
2024-02-13,Dhamra,5,4,1.26,Low
2024-02-13,Gangavaram,3,3,0.55,Low
2024-02-13,Haldia,15,5,5.62,High
2024-02-13,Gopalpur,2,3,0.44,Low
2024-02-13,Newcastle,10,8,1.95,Medium
2024-02-13,Samarinda,6,4,1.24,Low
2024-02-13,Richards Bay,9,5,2.27,Medium
2024-02-13,Maputo,4,1,0.9,Low
2024-02-13,Norfolk,3,1,0.73,Low
2024-02-14,Paradip,8,4,2.45,Medium
2024-02-14,Visakhapatnam (Outer),7,3,1.84,Medium
2024-02-14,Visakhapatnam (Inner),6,5,1.64,Medium
2024-02-14,Dhamra,4,4,1.11,Low
2024-02-14,Gangavaram,2,3,0.69,Low
2024-02-14,Haldia,15,5,5.54,High
2024-02-14,Gopalpur,2,3,0.41,Low
2024-02-14,Newcastle,14,8,2.98,Medium
2024-02-14,Samarinda,9,6,1.84,Medium
2024-02-14,Richards Bay,6,6,1.66,Medium
2024-02-14,Maputo,5,3,0.91,Low
2024-02-14,Norfolk,4,4,0.79,Low
2024-02-15,Paradip,9,6,2.71,Medium
2024-02-15,Visakhapatnam (Outer),6,4,1.35,Low
2024-02-15,Visakhapatnam (Inner),9,5,2.22,Medium
2024-02-15,Dhamra,4,5,0.88,Low
2024-02-15,Gangavaram,4,3,1.0,Low
2024-02-15,Haldia,15,6,5.54,High
2024-02-15,Gopalpur,2,2,0.53,Low
2024-02-15,Newcastle,23,8,4.39,High
2024-02-15,Samarinda,8,6,1.6,Medium
2024-02-15,Richards Bay,8,4,2.03,Medium
2024-02-15,Maputo,5,3,1.28,Low
2024-02-15,Norfolk,5,4,0.82,Low
2024-02-16,Paradip,8,8,2.11,Medium
2024-02-16,Visakhapatnam (Outer),6,4,1.39,Low
2024-02-16,Visakhapatnam (Inner),6,3,1.5,Medium
2024-02-16,Dhamra,5,4,1.29,Low
2024-02-16,Gangavaram,2,3,0.59,Low
2024-02-16,Haldia,12,4,4.49,High
2024-02-16,Gopalpur,2,1,0.68,Low
2024-02-16,Newcastle,15,8,3.11,Medium
2024-02-16,Samarinda,5,6,0.9,Low
2024-02-16,Richards Bay,10,3,2.18,Medium
2024-02-16,Maputo,2,3,0.76,Low
2024-02-16,Norfolk,3,4,0.8,Low
2024-02-19,Paradip,8,8,2.49,Medium
2024-02-19,Visakhapatnam (Outer),9,3,2.16,Medium
2024-02-19,Visakhapatnam (Inner),7,4,1.71,Medium
2024-02-19,Dhamra,3,3,0.74,Low
2024-02-19,Gangavaram,3,2,0.92,Low
2024-02-19,Haldia,11,5,4.17,High
2024-02-19,Gopalpur,3,1,0.54,Low
2024-02-19,Newcastle,7,8,1.41,Low
2024-02-19,Samarinda,8,5,1.69,Medium
2024-02-19,Richards Bay,10,5,2.33,Medium
2024-02-19,Maputo,4,3,0.99,Low
2024-02-19,Norfolk,5,2,1.03,Low
2024-02-20,Paradip,12,5,3.2,Medium
2024-02-20,Visakhapatnam (Outer),6,1,1.4,Low
2024-02-20,Visakhapatnam (Inner),9,5,2.44,Medium
2024-02-20,Dhamra,5,3,1.02,Low
2024-02-20,Gangavaram,4,2,0.76,Low
2024-02-20,Haldia,12,4,4.47,High
2024-02-20,Gopalpur,2,1,0.65,Low
2024-02-20,Newcastle,14,9,2.67,Medium
2024-02-20,Samarinda,7,4,1.27,Low
2024-02-20,Richards Bay,6,5,1.56,Medium
2024-02-20,Maputo,7,3,1.23,Low
2024-02-20,Norfolk,4,5,0.9,Low
2024-02-21,Paradip,5,4,1.38,Low
2024-02-21,Visakhapatnam (Outer),7,3,1.87,Medium
2024-02-21,Visakhapatnam (Inner),11,4,2.61,Medium
2024-02-21,Dhamra,4,4,1.16,Low
2024-02-21,Gangavaram,4,2,0.91,Low
2024-02-21,Haldia,16,5,6.01,High
2024-02-21,Gopalpur,2,1,0.73,Low
2024-02-21,Newcastle,15,7,2.85,Medium
2024-02-21,Samarinda,5,7,1.14,Low
2024-02-21,Richards Bay,12,5,2.55,Medium
2024-02-21,Maputo,5,3,0.95,Low
2024-02-21,Norfolk,1,3,0.54,Low
2024-02-22,Paradip,7,4,1.97,Medium
2024-02-22,Visakhapatnam (Outer),7,5,1.73,Medium
2024-02-22,Visakhapatnam (Inner),8,4,2.08,Medium
2024-02-22,Dhamra,5,5,1.05,Low
2024-02-22,Gangavaram,3,1,0.84,Low
2024-02-22,Haldia,17,3,6.37,High
2024-02-22,Gopalpur,3,2,0.54,Low
2024-02-22,Newcastle,22,8,4.07,High
2024-02-22,Samarinda,8,4,1.34,Low
2024-02-22,Richards Bay,8,5,1.95,Medium
2024-02-22,Maputo,6,1,1.41,Low
2024-02-22,Norfolk,3,2,0.63,Low
2024-02-23,Paradip,10,6,2.67,Medium
2024-02-23,Visakhapatnam (Outer),7,2,1.57,Medium
2024-02-23,Visakhapatnam (Inner),7,7,1.83,Medium
2024-02-23,Dhamra,3,4,0.65,Low
2024-02-23,Gangavaram,3,3,0.63,Low
2024-02-23,Haldia,12,5,4.45,High
2024-02-23,Gopalpur,2,1,0.44,Low
2024-02-23,Newcastle,9,6,1.98,Medium
2024-02-23,Samarinda,8,7,1.36,Low
2024-02-23,Richards Bay,10,4,2.29,Medium
2024-02-23,Maputo,3,3,0.81,Low
2024-02-23,Norfolk,3,4,0.92,Low
2024-02-26,Paradip,4,5,1.36,Low
2024-02-26,Visakhapatnam (Outer),4,3,1.12,Low
2024-02-26,Visakhapatnam (Inner),7,5,1.99,Medium
2024-02-26,Dhamra,4,2,0.89,Low
2024-02-26,Gangavaram,3,2,0.95,Low
2024-02-26,Haldia,13,4,5.05,High
2024-02-26,Gopalpur,3,1,0.48,Low
2024-02-26,Newcastle,18,9,3.51,High
2024-02-26,Samarinda,8,6,1.49,Low
2024-02-26,Richards Bay,10,3,2.11,Medium
2024-02-26,Maputo,4,2,0.91,Low
2024-02-26,Norfolk,4,4,0.8,Low
2024-02-27,Paradip,8,6,2.29,Medium
2024-02-27,Visakhapatnam (Outer),5,3,1.28,Low
2024-02-27,Visakhapatnam (Inner),7,5,1.94,Medium
2024-02-27,Dhamra,4,4,0.9,Low
2024-02-27,Gangavaram,4,1,0.97,Low
2024-02-27,Haldia,14,3,5.39,High
2024-02-27,Gopalpur,2,3,0.4,Low
2024-02-27,Newcastle,11,7,2.22,Medium
2024-02-27,Samarinda,7,7,1.39,Low
2024-02-27,Richards Bay,5,4,1.21,Low
2024-02-27,Maputo,3,2,0.62,Low
2024-02-27,Norfolk,3,4,0.76,Low
2024-02-28,Paradip,12,6,3.22,Medium
2024-02-28,Visakhapatnam (Outer),8,2,1.91,Medium
2024-02-28,Visakhapatnam (Inner),3,5,1.0,Low
2024-02-28,Dhamra,4,3,1.0,Low
2024-02-28,Gangavaram,4,4,1.08,Low
2024-02-28,Haldia,14,5,5.37,High
2024-02-28,Gopalpur,2,1,0.63,Low
2024-02-28,Newcastle,17,6,3.38,Medium
2024-02-28,Samarinda,6,5,1.3,Low
2024-02-28,Richards Bay,8,3,1.82,Medium
2024-02-28,Maputo,6,2,1.38,Low
2024-02-28,Norfolk,4,3,0.95,Low
2024-02-29,Paradip,13,6,3.39,Medium
2024-02-29,Visakhapatnam (Outer),4,5,0.93,Low
2024-02-29,Visakhapatnam (Inner),6,4,1.69,Medium
2024-02-29,Dhamra,5,3,1.17,Low
2024-02-29,Gangavaram,4,3,0.77,Low
2024-02-29,Haldia,10,4,3.89,High
2024-02-29,Gopalpur,1,2,0.58,Low
2024-02-29,Newcastle,15,7,2.81,Medium
2024-02-29,Samarinda,10,5,1.64,Medium
2024-02-29,Richards Bay,7,5,1.71,Medium
2024-02-29,Maputo,3,2,0.81,Low
2024-02-29,Norfolk,6,3,1.15,Low
2024-03-01,Paradip,10,4,2.63,Medium
2024-03-01,Visakhapatnam (Outer),5,5,1.33,Low
2024-03-01,Visakhapatnam (Inner),8,6,2.01,Medium
2024-03-01,Dhamra,6,4,1.51,Medium
2024-03-01,Gangavaram,3,1,0.94,Low
2024-03-01,Haldia,11,5,4.21,High
2024-03-01,Gopalpur,3,3,0.51,Low
2024-03-01,Newcastle,13,7,2.59,Medium
2024-03-01,Samarinda,5,5,1.04,Low
2024-03-01,Richards Bay,9,4,1.95,Medium
2024-03-01,Maputo,6,2,1.09,Low
2024-03-01,Norfolk,3,4,0.59,Low
2024-03-04,Paradip,15,7,4.19,High
2024-03-04,Visakhapatnam (Outer),5,3,1.31,Low
2024-03-04,Visakhapatnam (Inner),6,4,1.59,Medium
2024-03-04,Dhamra,2,4,0.65,Low
2024-03-04,Gangavaram,4,3,1.03,Low
2024-03-04,Haldia,9,5,3.39,Medium
