date,port,fuel_type,price_usd_per_ton
2024-01-12,Rotterdam,VLSFO,640.81
2024-01-12,Rotterdam,LSMGO,831.09
2024-01-12,Rotterdam,HSFO,480.93
2024-01-12,Visakhapatnam,VLSFO,698.11
2024-01-12,Visakhapatnam,LSMGO,890.44
2024-01-12,Visakhapatnam,HSFO,540.33
2024-01-15,Singapore,VLSFO,657.64
2024-01-15,Singapore,LSMGO,850.7
2024-01-15,Singapore,HSFO,495.94
2024-01-15,Fujairah,VLSFO,647.3
2024-01-15,Fujairah,LSMGO,835.1
2024-01-15,Fujairah,HSFO,484.45
2024-01-15,Rotterdam,VLSFO,631.18
2024-01-15,Rotterdam,LSMGO,824.9
2024-01-15,Rotterdam,HSFO,472.76
2024-01-15,Visakhapatnam,VLSFO,695.07
2024-01-15,Visakhapatnam,LSMGO,881.11
2024-01-15,Visakhapatnam,HSFO,532.61
2024-01-16,Singapore,VLSFO,654.42
2024-01-16,Singapore,LSMGO,845.93
2024-01-16,Singapore,HSFO,493.1
2024-01-16,Fujairah,VLSFO,642.94
2024-01-16,Fujairah,LSMGO,834.5
2024-01-16,Fujairah,HSFO,482.88
2024-01-16,Rotterdam,VLSFO,627.58
2024-01-16,Rotterdam,LSMGO,816.33
2024-01-16,Rotterdam,HSFO,471.41
2024-01-16,Visakhapatnam,VLSFO,686.31
2024-01-16,Visakhapatnam,LSMGO,881.43
2024-01-16,Visakhapatnam,HSFO,529.36
2024-01-17,Singapore,VLSFO,659.26
2024-01-17,Singapore,LSMGO,848.42
2024-01-17,Singapore,HSFO,499.61
2024-01-17,Fujairah,VLSFO,643.73
2024-01-17,Fujairah,LSMGO,836.23
2024-01-17,Fujairah,HSFO,484.04
2024-01-17,Rotterdam,VLSFO,631.5
2024-01-17,Rotterdam,LSMGO,822.39
2024-01-17,Rotterdam,HSFO,473.87
2024-01-17,Visakhapatnam,VLSFO,694.53
2024-01-17,Visakhapatnam,LSMGO,883.24
2024-01-17,Visakhapatnam,HSFO,531.13
2024-01-18,Singapore,VLSFO,637.37
2024-01-18,Singapore,LSMGO,829.27
2024-01-18,Singapore,HSFO,476.28
2024-01-18,Fujairah,VLSFO,623.51
2024-01-18,Fujairah,LSMGO,814.97
2024-01-18,Fujairah,HSFO,464.57
2024-01-18,Rotterdam,VLSFO,611.62
2024-01-18,Rotterdam,LSMGO,801.25
2024-01-18,Rotterdam,HSFO,450.1
2024-01-18,Visakhapatnam,VLSFO,669.95
2024-01-18,Visakhapatnam,LSMGO,865.77
2024-01-18,Visakhapatnam,HSFO,512.41
2024-01-19,Singapore,VLSFO,620.71
2024-01-19,Singapore,LSMGO,812.48
2024-01-19,Singapore,HSFO,459.72
2024-01-19,Fujairah,VLSFO,612.11
2024-01-19,Fujairah,LSMGO,801.13
2024-01-19,Fujairah,HSFO,446.94
2024-01-19,Rotterdam,VLSFO,595.91
2024-01-19,Rotterdam,LSMGO,788.68
2024-01-19,Rotterdam,HSFO,439.08
2024-01-19,Visakhapatnam,VLSFO,656.21
2024-01-19,Visakhapatnam,LSMGO,847.09
2024-01-19,Visakhapatnam,HSFO,494.41
2024-01-22,Singapore,VLSFO,619.17
2024-01-22,Singapore,LSMGO,804.62
2024-01-22,Singapore,HSFO,458.88
2024-01-22,Fujairah,VLSFO,605.13
2024-01-22,Fujairah,LSMGO,794.87
2024-01-22,Fujairah,HSFO,444.3
2024-01-22,Rotterdam,VLSFO,589.61
2024-01-22,Rotterdam,LSMGO,779.29
2024-01-22,Rotterdam,HSFO,429.55
2024-01-22,Visakhapatnam,VLSFO,649.35
2024-01-22,Visakhapatnam,LSMGO,842.91
2024-01-22,Visakhapatnam,HSFO,490.33
2024-01-23,Singapore,VLSFO,604.27
2024-01-23,Singapore,LSMGO,799.74
2024-01-23,Singapore,HSFO,449.23
2024-01-23,Fujairah,VLSFO,597.49
2024-01-23,Fujairah,LSMGO,787.9
2024-01-23,Fujairah,HSFO,432.97
2024-01-23,Rotterdam,VLSFO,581.3
2024-01-23,Rotterdam,LSMGO,773.48
2024-01-23,Rotterdam,HSFO,423.1
2024-01-23,Visakhapatnam,VLSFO,639.85
2024-01-23,Visakhapatnam,LSMGO,833.82
2024-01-23,Visakhapatnam,HSFO,480.27
2024-01-24,Singapore,VLSFO,608.19
2024-01-24,Singapore,LSMGO,800.07
2024-01-24,Singapore,HSFO,450.41
2024-01-24,Fujairah,VLSFO,598.33
2024-01-24,Fujairah,LSMGO,785.4
2024-01-24,Fujairah,HSFO,440.11
2024-01-24,Rotterdam,VLSFO,583.44
2024-01-24,Rotterdam,LSMGO,772.63
2024-01-24,Rotterdam,HSFO,427.18
2024-01-24,Visakhapatnam,VLSFO,647.58
2024-01-24,Visakhapatnam,LSMGO,837.02
2024-01-24,Visakhapatnam,HSFO,486.71
2024-01-25,Singapore,VLSFO,602.54
2024-01-25,Singapore,LSMGO,791.91
2024-01-25,Singapore,HSFO,439.13
2024-01-25,Fujairah,VLSFO,589.05
2024-01-25,Fujairah,LSMGO,778.84
2024-01-25,Fujairah,HSFO,428.16
2024-01-25,Rotterdam,VLSFO,577.94
2024-01-25,Rotterdam,LSMGO,766.58
2024-01-25,Rotterdam,HSFO,414.09
2024-01-25,Visakhapatnam,VLSFO,634.92
2024-01-25,Visakhapatnam,LSMGO,827.7
2024-01-25,Visakhapatnam,HSFO,474.06
2024-01-26,Singapore,VLSFO,591.03
2024-01-26,Singapore,LSMGO,778.89
2024-01-26,Singapore,HSFO,428.8
2024-01-26,Fujairah,VLSFO,577.47
2024-01-26,Fujairah,LSMGO,768.87
2024-01-26,Fujairah,HSFO,416.01
2024-01-26,Rotterdam,VLSFO,564.99
2024-01-26,Rotterdam,LSMGO,754.31
2024-01-26,Rotterdam,HSFO,402.52
2024-01-26,Visakhapatnam,VLSFO,626.19
2024-01-26,Visakhapatnam,LSMGO,815.7
2024-01-26,Visakhapatnam,HSFO,464.87
2024-01-29,Singapore,VLSFO,604.03
2024-01-29,Singapore,LSMGO,794.13
2024-01-29,Singapore,HSFO,443.18
2024-01-29,Fujairah,VLSFO,591.95
2024-01-29,Fujairah,LSMGO,781.11
2024-01-29,Fujairah,HSFO,431.01
2024-01-29,Rotterdam,VLSFO,577.64
2024-01-29,Rotterdam,LSMGO,768.44
2024-01-29,Rotterdam,HSFO,414.88
2024-01-29,Visakhapatnam,VLSFO,639.21
2024-01-29,Visakhapatnam,LSMGO,829.16
2024-01-29,Visakhapatnam,HSFO,474.1
2024-01-30,Singapore,VLSFO,601.9
2024-01-30,Singapore,LSMGO,787.72
2024-01-30,Singapore,HSFO,438.96
2024-01-30,Fujairah,VLSFO,589.41
2024-01-30,Fujairah,LSMGO,775.91
2024-01-30,Fujairah,HSFO,429.85
2024-01-30,Rotterdam,VLSFO,576.94
2024-01-30,Rotterdam,LSMGO,764.99
2024-01-30,Rotterdam,HSFO,411.99
2024-01-30,Visakhapatnam,VLSFO,633.67
2024-01-30,Visakhapatnam,LSMGO,825.65
2024-01-30,Visakhapatnam,HSFO,477.83
2024-01-31,Singapore,VLSFO,601.41
2024-01-31,Singapore,LSMGO,789.17
2024-01-31,Singapore,HSFO,441.42
2024-01-31,Fujairah,VLSFO,588.85
2024-01-31,Fujairah,LSMGO,780.29
2024-01-31,Fujairah,HSFO,426.26
2024-01-31,Rotterdam,VLSFO,577.18
2024-01-31,Rotterdam,LSMGO,765.86
2024-01-31,Rotterdam,HSFO,418.39
2024-01-31,Visakhapatnam,VLSFO,634.67
2024-01-31,Visakhapatnam,LSMGO,826.41
2024-01-31,Visakhapatnam,HSFO,478.21
2024-02-01,Singapore,VLSFO,585.45
2024-02-01,Singapore,LSMGO,780.46
2024-02-01,Singapore,HSFO,428.97
2024-02-01,Fujairah,VLSFO,573.25
2024-02-01,Fujairah,LSMGO,764.64
2024-02-01,Fujairah,HSFO,417.09
2024-02-01,Rotterdam,VLSFO,560.24
2024-02-01,Rotterdam,LSMGO,753.33
2024-02-01,Rotterdam,HSFO,401.91
2024-02-01,Visakhapatnam,VLSFO,623.56
2024-02-01,Visakhapatnam,LSMGO,810.11
2024-02-01,Visakhapatnam,HSFO,465.07
2024-02-02,Singapore,VLSFO,585.94
2024-02-02,Singapore,LSMGO,775.91
2024-02-02,Singapore,HSFO,424.6
2024-02-02,Fujairah,VLSFO,568.88
2024-02-02,Fujairah,LSMGO,762.65
2024-02-02,Fujairah,HSFO,408.25
2024-02-02,Rotterdam,VLSFO,555.23
2024-02-02,Rotterdam,LSMGO,747.04
2024-02-02,Rotterdam,HSFO,398.03
2024-02-02,Visakhapatnam,VLSFO,619.72
2024-02-02,Visakhapatnam,LSMGO,809.2
2024-02-02,Visakhapatnam,HSFO,457.77
2024-02-05,Singapore,VLSFO,582.77
2024-02-05,Singapore,LSMGO,777.11
2024-02-05,Singapore,HSFO,423.68
2024-02-05,Fujairah,VLSFO,571.83
2024-02-05,Fujairah,LSMGO,760.11
2024-02-05,Fujairah,HSFO,413.89
2024-02-05,Rotterdam,VLSFO,560.29
2024-02-05,Rotterdam,LSMGO,747.45
2024-02-05,Rotterdam,HSFO,396.62
2024-02-05,Visakhapatnam,VLSFO,620.21
2024-02-05,Visakhapatnam,LSMGO,810.05
2024-02-05,Visakhapatnam,HSFO,457.77
2024-02-06,Singapore,VLSFO,576.8
2024-02-06,Singapore,LSMGO,762.01
2024-02-06,Singapore,HSFO,413.69
2024-02-06,Fujairah,VLSFO,564.76
2024-02-06,Fujairah,LSMGO,751.62
2024-02-06,Fujairah,HSFO,402.93
2024-02-06,Rotterdam,VLSFO,548.49
2024-02-06,Rotterdam,LSMGO,737.74
2024-02-06,Rotterdam,HSFO,392.0
2024-02-06,Visakhapatnam,VLSFO,608.56
2024-02-06,Visakhapatnam,LSMGO,801.46
2024-02-06,Visakhapatnam,HSFO,447.48
2024-02-07,Singapore,VLSFO,575.67
2024-02-07,Singapore,LSMGO,764.58
2024-02-07,Singapore,HSFO,418.3
2024-02-07,Fujairah,VLSFO,564.6
2024-02-07,Fujairah,LSMGO,757.58
2024-02-07,Fujairah,HSFO,405.23
2024-02-07,Rotterdam,VLSFO,555.2
2024-02-07,Rotterdam,LSMGO,740.51
2024-02-07,Rotterdam,HSFO,394.6
2024-02-07,Visakhapatnam,VLSFO,614.05
2024-02-07,Visakhapatnam,LSMGO,804.02
2024-02-07,Visakhapatnam,HSFO,454.46
2024-02-08,Singapore,VLSFO,573.81
2024-02-08,Singapore,LSMGO,763.01
2024-02-08,Singapore,HSFO,410.04
2024-02-08,Fujairah,VLSFO,557.44
2024-02-08,Fujairah,LSMGO,752.77
2024-02-08,Fujairah,HSFO,400.95
2024-02-08,Rotterdam,VLSFO,549.03
2024-02-08,Rotterdam,LSMGO,737.14
2024-02-08,Rotterdam,HSFO,384.95
2024-02-08,Visakhapatnam,VLSFO,605.0
2024-02-08,Visakhapatnam,LSMGO,798.36
2024-02-08,Visakhapatnam,HSFO,446.83
2024-02-09,Singapore,VLSFO,568.0
2024-02-09,Singapore,LSMGO,759.75
2024-02-09,Singapore,HSFO,407.19
2024-02-09,Fujairah,VLSFO,558.29
2024-02-09,Fujairah,LSMGO,746.42
2024-02-09,Fujairah,HSFO,399.59
2024-02-09,Rotterdam,VLSFO,543.66
2024-02-09,Rotterdam,LSMGO,734.53
2024-02-09,Rotterdam,HSFO,381.87
2024-02-09,Visakhapatnam,VLSFO,602.24
2024-02-09,Visakhapatnam,LSMGO,794.16
2024-02-09,Visakhapatnam,HSFO,444.68
2024-02-12,Singapore,VLSFO,565.32
2024-02-12,Singapore,LSMGO,753.47
2024-02-12,Singapore,HSFO,405.89
2024-02-12,Fujairah,VLSFO,554.88
2024-02-12,Fujairah,LSMGO,744.39
2024-02-12,Fujairah,HSFO,389.95
2024-02-12,Rotterdam,VLSFO,539.6
2024-02-12,Rotterdam,LSMGO,727.35
2024-02-12,Rotterdam,HSFO,378.17
2024-02-12,Visakhapatnam,VLSFO,602.64
2024-02-12,Visakhapatnam,LSMGO,787.57
2024-02-12,Visakhapatnam,HSFO,439.71
2024-02-13,Singapore,VLSFO,581.17
2024-02-13,Singapore,LSMGO,771.68
2024-02-13,Singapore,HSFO,420.82
2024-02-13,Fujairah,VLSFO,565.52
2024-02-13,Fujairah,LSMGO,757.42
2024-02-13,Fujairah,HSFO,408.57
2024-02-13,Rotterdam,VLSFO,552.99
2024-02-13,Rotterdam,LSMGO,744.57
2024-02-13,Rotterdam,HSFO,392.66
2024-02-13,Visakhapatnam,VLSFO,612.93
2024-02-13,Visakhapatnam,LSMGO,804.84
2024-02-13,Visakhapatnam,HSFO,453.26
2024-02-14,Singapore,VLSFO,580.81
2024-02-14,Singapore,LSMGO,771.54
2024-02-14,Singapore,HSFO,422.21
2024-02-14,Fujairah,VLSFO,566.6
2024-02-14,Fujairah,LSMGO,756.41
2024-02-14,Fujairah,HSFO,406.03
2024-02-14,Rotterdam,VLSFO,556.22
2024-02-14,Rotterdam,LSMGO,746.64
2024-02-14,Rotterdam,HSFO,392.59
2024-02-14,Visakhapatnam,VLSFO,618.02
2024-02-14,Visakhapatnam,LSMGO,802.71
2024-02-14,Visakhapatnam,HSFO,455.65
2024-02-15,Singapore,VLSFO,572.51
2024-02-15,Singapore,LSMGO,763.48
2024-02-15,Singapore,HSFO,412.54
2024-02-15,Fujairah,VLSFO,561.06
2024-02-15,Fujairah,LSMGO,748.29
2024-02-15,Fujairah,HSFO,401.14
2024-02-15,Rotterdam,VLSFO,543.73
2024-02-15,Rotterdam,LSMGO,738.62
2024-02-15,Rotterdam,HSFO,386.54
2024-02-15,Visakhapatnam,VLSFO,608.16
2024-02-15,Visakhapatnam,LSMGO,795.97
2024-02-15,Visakhapatnam,HSFO,447.11
2024-02-16,Singapore,VLSFO,578.52
2024-02-16,Singapore,LSMGO,769.75
2024-02-16,Singapore,HSFO,415.85
2024-02-16,Fujairah,VLSFO,563.72
2024-02-16,Fujairah,LSMGO,754.84
2024-02-16,Fujairah,HSFO,404.31
2024-02-16,Rotterdam,VLSFO,555.59
2024-02-16,Rotterdam,LSMGO,741.67
2024-02-16,Rotterdam,HSFO,396.21
2024-02-16,Visakhapatnam,VLSFO,612.38
2024-02-16,Visakhapatnam,LSMGO,801.45
2024-02-16,Visakhapatnam,HSFO,455.1
2024-02-19,Singapore,VLSFO,568.78
2024-02-19,Singapore,LSMGO,757.81
2024-02-19,Singapore,HSFO,408.16
2024-02-19,Fujairah,VLSFO,557.14
2024-02-19,Fujairah,LSMGO,744.19
2024-02-19,Fujairah,HSFO,398.8
2024-02-19,Rotterdam,VLSFO,545.67
2024-02-19,Rotterdam,LSMGO,733.73
2024-02-19,Rotterdam,HSFO,381.02
2024-02-19,Visakhapatnam,VLSFO,603.91
2024-02-19,Visakhapatnam,LSMGO,790.26
2024-02-19,Visakhapatnam,HSFO,440.01
2024-02-20,Singapore,VLSFO,568.21
2024-02-20,Singapore,LSMGO,759.44
2024-02-20,Singapore,HSFO,411.87
2024-02-20,Fujairah,VLSFO,559.02
2024-02-20,Fujairah,LSMGO,749.12
2024-02-20,Fujairah,HSFO,397.21
2024-02-20,Rotterdam,VLSFO,543.74
2024-02-20,Rotterdam,LSMGO,733.89
2024-02-20,Rotterdam,HSFO,387.59
2024-02-20,Visakhapatnam,VLSFO,601.9
2024-02-20,Visakhapatnam,LSMGO,796.86
2024-02-20,Visakhapatnam,HSFO,445.13
2024-02-21,Singapore,VLSFO,552.6
2024-02-21,Singapore,LSMGO,744.32
2024-02-21,Singapore,HSFO,392.89
2024-02-21,Fujairah,VLSFO,543.21
2024-02-21,Fujairah,LSMGO,733.38
2024-02-21,Fujairah,HSFO,380.5
2024-02-21,Rotterdam,VLSFO,526.63
2024-02-21,Rotterdam,LSMGO,718.53
2024-02-21,Rotterdam,HSFO,370.45
2024-02-21,Visakhapatnam,VLSFO,586.24
2024-02-21,Visakhapatnam,LSMGO,778.71
2024-02-21,Visakhapatnam,HSFO,428.76
2024-02-22,Singapore,VLSFO,543.41
2024-02-22,Singapore,LSMGO,729.8
2024-02-22,Singapore,HSFO,383.31
2024-02-22,Fujairah,VLSFO,532.46
2024-02-22,Fujairah,LSMGO,718.09
2024-02-22,Fujairah,HSFO,368.44
2024-02-22,Rotterdam,VLSFO,519.84
2024-02-22,Rotterdam,LSMGO,705.1
2024-02-22,Rotterdam,HSFO,359.14
2024-02-22,Visakhapatnam,VLSFO,576.96
2024-02-22,Visakhapatnam,LSMGO,765.49
2024-02-22,Visakhapatnam,HSFO,419.23
2024-02-23,Singapore,VLSFO,543.34
2024-02-23,Singapore,LSMGO,733.75
2024-02-23,Singapore,HSFO,382.82
2024-02-23,Fujairah,VLSFO,532.22
2024-02-23,Fujairah,LSMGO,719.65
2024-02-23,Fujairah,HSFO,371.01
2024-02-23,Rotterdam,VLSFO,521.48
2024-02-23,Rotterdam,LSMGO,707.21
2024-02-23,Rotterdam,HSFO,359.61
2024-02-23,Visakhapatnam,VLSFO,577.62
2024-02-23,Visakhapatnam,LSMGO,770.31
2024-02-23,Visakhapatnam,HSFO,416.45
2024-02-26,Singapore,VLSFO,552.56
2024-02-26,Singapore,LSMGO,739.46
2024-02-26,Singapore,HSFO,388.16
2024-02-26,Fujairah,VLSFO,535.18
2024-02-26,Fujairah,LSMGO,725.76
2024-02-26,Fujairah,HSFO,377.86
2024-02-26,Rotterdam,VLSFO,523.76
2024-02-26,Rotterdam,LSMGO,716.71
2024-02-26,Rotterdam,HSFO,364.33
2024-02-26,Visakhapatnam,VLSFO,583.23
2024-02-26,Visakhapatnam,LSMGO,775.44
2024-02-26,Visakhapatnam,HSFO,425.98
2024-02-27,Singapore,VLSFO,549.21
2024-02-27,Singapore,LSMGO,739.22
2024-02-27,Singapore,HSFO,388.43
2024-02-27,Fujairah,VLSFO,540.63
2024-02-27,Fujairah,LSMGO,730.19
2024-02-27,Fujairah,HSFO,379.06
2024-02-27,Rotterdam,VLSFO,528.27
2024-02-27,Rotterdam,LSMGO,718.04
2024-02-27,Rotterdam,HSFO,366.72
2024-02-27,Visakhapatnam,VLSFO,588.42
2024-02-27,Visakhapatnam,LSMGO,774.44
2024-02-27,Visakhapatnam,HSFO,423.88
2024-02-28,Singapore,VLSFO,548.93
2024-02-28,Singapore,LSMGO,737.65
2024-02-28,Singapore,HSFO,390.5
2024-02-28,Fujairah,VLSFO,540.93
2024-02-28,Fujairah,LSMGO,725.54
2024-02-28,Fujairah,HSFO,376.04
2024-02-28,Rotterdam,VLSFO,525.02
2024-02-28,Rotterdam,LSMGO,717.91
2024-02-28,Rotterdam,HSFO,364.21
2024-02-28,Visakhapatnam,VLSFO,585.35
2024-02-28,Visakhapatnam,LSMGO,772.56
2024-02-28,Visakhapatnam,HSFO,423.2
2024-02-29,Singapore,VLSFO,550.8
2024-02-29,Singapore,LSMGO,740.67
2024-02-29,Singapore,HSFO,384.91
2024-02-29,Fujairah,VLSFO,538.59
2024-02-29,Fujairah,LSMGO,726.71
2024-02-29,Fujairah,HSFO,378.09
2024-02-29,Rotterdam,VLSFO,522.61
2024-02-29,Rotterdam,LSMGO,712.97
2024-02-29,Rotterdam,HSFO,362.81
2024-02-29,Visakhapatnam,VLSFO,583.88
2024-02-29,Visakhapatnam,LSMGO,770.72
2024-02-29,Visakhapatnam,HSFO,420.06
2024-03-01,Singapore,VLSFO,534.63
2024-03-01,Singapore,LSMGO,727.01
2024-03-01,Singapore,HSFO,373.99
2024-03-01,Fujairah,VLSFO,524.82
2024-03-01,Fujairah,LSMGO,716.6
2024-03-01,Fujairah,HSFO,361.35
2024-03-01,Rotterdam,VLSFO,511.82
2024-03-01,Rotterdam,LSMGO,700.44
2024-03-01,Rotterdam,HSFO,352.99
2024-03-01,Visakhapatnam,VLSFO,568.85
2024-03-01,Visakhapatnam,LSMGO,761.94
2024-03-01,Visakhapatnam,HSFO,412.81
2024-03-04,Singapore,VLSFO,532.72
2024-03-04,Singapore,LSMGO,721.15
2024-03-04,Singapore,HSFO,370.03
2024-03-04,Fujairah,VLSFO,518.76
2024-03-04,Fujairah,LSMGO,710.26
2024-03-04,Fujairah,HSFO,358.47
2024-03-04,Rotterdam,VLSFO,502.23
2024-03-04,Rotterdam,LSMGO,697.64
2024-03-04,Rotterdam,HSFO,346.19
2024-03-04,Visakhapatnam,VLSFO,566.11
2024-03-04,Visakhapatnam,LSMGO,753.34
2024-03-04,Visakhapatnam,HSFO,406.0
2024-03-05,Singapore,VLSFO,525.8
2024-03-05,Singapore,LSMGO,717.35
2024-03-05,Singapore,HSFO,364.08
2024-03-05,Fujairah,VLSFO,515.39
2024-03-05,Fujairah,LSMGO,707.44
2024-03-05,Fujairah,HSFO,351.73
2024-03-05,Rotterdam,VLSFO,504.3
2024-03-05,Rotterdam,LSMGO,690.88
2024-03-05,Rotterdam,HSFO,343.67
2024-03-05,Visakhapatnam,VLSFO,563.14
2024-03-05,Visakhapatnam,LSMGO,751.84
2024-03-05,Visakhapatnam,HSFO,402.87
2024-03-06,Singapore,VLSFO,537.11
2024-03-06,Singapore,LSMGO,724.27
2024-03-06,Singapore,HSFO,373.8
2024-03-06,Fujairah,VLSFO,523.85
2024-03-06,Fujairah,LSMGO,714.69
2024-03-06,Fujairah,HSFO,364.42
2024-03-06,Rotterdam,VLSFO,511.63
2024-03-06,Rotterdam,LSMGO,699.45
2024-03-06,Rotterdam,HSFO,351.75
2024-03-06,Visakhapatnam,VLSFO,567.56
2024-03-06,Visakhapatnam,LSMGO,760.11
2024-03-06,Visakhapatnam,HSFO,406.88
2024-03-07,Singapore,VLSFO,536.6
2024-03-07,Singapore,LSMGO,726.85
2024-03-07,Singapore,HSFO,377.03
2024-03-07,Fujairah,VLSFO,526.82
2024-03-07,Fujairah,LSMGO,714.98
2024-03-07,Fujairah,HSFO,365.34
2024-03-07,Rotterdam,VLSFO,511.08
2024-03-07,Rotterdam,LSMGO,701.89
2024-03-07,Rotterdam,HSFO,351.02
2024-03-07,Visakhapatnam,VLSFO,570.09
2024-03-07,Visakhapatnam,LSMGO,763.27
2024-03-07,Visakhapatnam,HSFO,413.66
2024-03-08,Singapore,VLSFO,524.2
2024-03-08,Singapore,LSMGO,713.27
2024-03-08,Singapore,HSFO,362.77
2024-03-08,Fujairah,VLSFO,513.67
2024-03-08,Fujairah,LSMGO,701.6
2024-03-08,Fujairah,HSFO,351.36
2024-03-08,Rotterdam,VLSFO,495.64
2024-03-08,Rotterdam,LSMGO,687.53
