date,vessel_class,demurrage_rate_usd_per_day,despatch_rate_usd_per_day,allowed_laytime_hours,projected_delay_hours,net_demurrage_cost_usd
2024-02-13,Supramax,12709.99,6354.99,60,0.0,0.0
2024-02-13,Panamax,16444.12,8222.06,72,0.0,0.0
2024-02-13,Capesize,24821.54,12410.77,96,44.1,0.0
2024-02-14,Handysize,9707.38,4853.69,48,6.9,0.0
2024-02-14,Supramax,13592.89,6796.44,60,14.3,0.0
2024-02-14,Panamax,16879.39,8439.69,72,12.8,0.0
2024-02-14,Capesize,25798.99,12899.5,96,40.5,0.0
2024-02-15,Handysize,9624.54,4812.27,48,15.1,0.0
2024-02-15,Supramax,12691.25,6345.62,60,40.4,0.0
2024-02-15,Panamax,16498.88,8249.44,72,8.9,0.0
2024-02-15,Capesize,25038.92,12519.46,96,14.0,0.0
2024-02-16,Handysize,9666.69,4833.35,48,38.6,0.0
2024-02-16,Supramax,12629.42,6314.71,60,19.2,0.0
2024-02-16,Panamax,16591.3,8295.65,72,39.6,0.0
2024-02-16,Capesize,24917.5,12458.75,96,25.0,0.0
2024-02-19,Handysize,9777.17,4888.59,48,23.5,0.0
2024-02-19,Supramax,12489.11,6244.56,60,22.8,0.0
2024-02-19,Panamax,16044.69,8022.35,72,20.1,0.0
2024-02-19,Capesize,24780.7,12390.35,96,16.8,0.0
2024-02-20,Handysize,9408.82,4704.41,48,30.2,0.0
2024-02-20,Supramax,12812.02,6406.01,60,12.0,0.0
2024-02-20,Panamax,16636.44,8318.22,72,22.3,0.0
2024-02-20,Capesize,24774.74,12387.37,96,24.2,0.0
2024-02-21,Handysize,9677.2,4838.6,48,46.5,0.0
2024-02-21,Supramax,13103.67,6551.84,60,25.7,0.0
2024-02-21,Panamax,15849.55,7924.77,72,45.5,0.0
2024-02-21,Capesize,24986.87,12493.43,96,38.2,0.0
2024-02-22,Handysize,10376.94,5188.47,48,28.2,0.0
2024-02-22,Supramax,13386.56,6693.28,60,40.7,0.0
2024-02-22,Panamax,16311.59,8155.8,72,30.7,0.0
2024-02-22,Capesize,24919.79,12459.9,96,41.1,0.0
2024-02-23,Handysize,10169.57,5084.78,48,31.8,0.0
2024-02-23,Supramax,13262.68,6631.34,60,12.7,0.0
2024-02-23,Panamax,16574.72,8287.36,72,6.2,0.0
2024-02-23,Capesize,25076.55,12538.27,96,0.0,0.0
2024-02-26,Handysize,9823.83,4911.91,48,23.6,0.0
2024-02-26,Supramax,12538.32,6269.16,60,27.0,0.0
2024-02-26,Panamax,16122.73,8061.36,72,23.1,0.0
2024-02-26,Capesize,24185.97,12092.99,96,27.3,0.0
2024-02-27,Handysize,9524.08,4762.04,48,20.1,0.0
2024-02-27,Supramax,13037.26,6518.63,60,38.7,0.0
2024-02-27,Panamax,16499.88,8249.94,72,25.2,0.0
2024-02-27,Capesize,24877.09,12438.55,96,0.0,0.0
2024-02-28,Handysize,9857.64,4928.82,48,20.6,0.0
2024-02-28,Supramax,12551.97,6275.98,60,15.7,0.0
2024-02-28,Panamax,16199.56,8099.78,72,52.1,0.0
2024-02-28,Capesize,24500.43,12250.22,96,23.5,0.0
2024-02-29,Handysize,9318.8,4659.4,48,27.1,0.0
2024-02-29,Supramax,12781.22,6390.61,60,31.3,0.0
2024-02-29,Panamax,16514.96,8257.48,72,11.9,0.0
2024-02-29,Capesize,24400.23,12200.11,96,16.0,0.0
2024-03-01,Handysize,9517.12,4758.56,48,26.0,0.0
2024-03-01,Supramax,12108.75,6054.38,60,37.8,0.0
2024-03-01,Panamax,15478.11,7739.06,72,31.2,0.0
2024-03-01,Capesize,23932.53,11966.26,96,7.8,0.0
2024-03-04,Handysize,9617.51,4808.76,48,51.1,1242.26
2024-03-04,Supramax,12188.92,6094.46,60,57.3,0.0
2024-03-04,Panamax,16046.4,8023.2,72,36.4,0.0
2024-03-04,Capesize,24465.54,12232.77,96,3.8,0.0
2024-03-05,Handysize,9723.86,4861.93,48,37.0,0.0
2024-03-05,Supramax,12627.54,6313.77,60,12.4,0.0
2024-03-05,Panamax,16620.94,8310.47,72,2.5,0.0
2024-03-05,Capesize,25526.22,12763.11,96,17.9,0.0
2024-03-06,Handysize,9658.05,4829.02,48,13.4,0.0
2024-03-06,Supramax,12145.67,6072.84,60,45.3,0.0
2024-03-06,Panamax,16601.74,8300.87,72,29.8,0.0
2024-03-06,Capesize,24074.7,12037.35,96,26.4,0.0
2024-03-07,Handysize,10074.2,5037.1,48,2.9,0.0
2024-03-07,Supramax,12326.99,6163.49,60,0.0,0.0
2024-03-07,Panamax,15991.52,7995.76,72,10.2,0.0
2024-03-07,Capesize,24354.41,12177.2,96,41.8,0.0
2024-03-08,Handysize,9610.97,4805.48,48,33.7,0.0
2024-03-08,Supramax,13123.8,6561.9,60,17.5,0.0
2024-03-08,Panamax,16418.22,8209.11,72,65.0,0.0
2024-03-08,Capesize,24875.91,12437.95,96,20.5,0.0
2024-03-11,Handysize,10395.18,5197.59,48,14.6,0.0
2024-03-11,Supramax,13546.8,6773.4,60,0.0,0.0
2024-03-11,Panamax,16226.38,8113.19,72,19.6,0.0
2024-03-11,Capesize,25443.87,12721.93,96,1.2,0.0
2024-03-12,Handysize,9774.97,4887.48,48,32.1,0.0
2024-03-12,Supramax,13306.11,6653.06,60,10.1,0.0
2024-03-12,Panamax,17030.56,8515.28,72,27.7,0.0
2024-03-12,Capesize,25132.05,12566.02,96,22.6,0.0
2024-03-13,Handysize,9833.36,4916.68,48,31.8,0.0
2024-03-13,Supramax,13190.5,6595.25,60,33.9,0.0
2024-03-13,Panamax,16526.03,8263.01,72,46.3,0.0
2024-03-13,Capesize,25123.79,12561.9,96,17.0,0.0
2024-03-14,Handysize,10047.52,5023.76,48,29.3,0.0
2024-03-14,Supramax,12349.19,6174.6,60,13.8,0.0
2024-03-14,Panamax,15993.84,7996.92,72,2.5,0.0
2024-03-14,Capesize,25038.06,12519.03,96,12.7,0.0
2024-03-15,Handysize,9650.3,4825.15,48,29.7,0.0
2024-03-15,Supramax,12546.15,6273.07,60,24.0,0.0
2024-03-15,Panamax,16398.77,8199.39,72,33.0,0.0
2024-03-15,Capesize,25087.62,12543.81,96,27.2,0.0
2024-03-18,Handysize,9412.85,4706.43,48,15.2,0.0
2024-03-18,Supramax,12722.8,6361.4,60,10.2,0.0
2024-03-18,Panamax,16548.17,8274.08,72,20.8,0.0
2024-03-18,Capesize,24817.3,12408.65,96,57.2,0.0
2024-03-19,Handysize,9377.95,4688.98,48,41.7,0.0
2024-03-19,Supramax,12666.27,6333.14,60,39.8,0.0
2024-03-19,Panamax,15885.77,7942.89,72,10.7,0.0
2024-03-19,Capesize,24685.2,12342.6,96,51.2,0.0
2024-03-20,Handysize,9839.04,4919.52,48,11.5,0.0
2024-03-20,Supramax,13139.28,6569.64,60,38.8,0.0
2024-03-20,Panamax,16202.84,8101.42,72,46.4,0.0
2024-03-20,Capesize,24861.59,12430.8,96,18.9,0.0
2024-03-21,Handysize,9659.96,4829.98,48,24.3,0.0
2024-03-21,Supramax,12424.18,6212.09,60,43.5,0.0
2024-03-21,Panamax,16700.9,8350.45,72,0.0,0.0
2024-03-21,Capesize,24881.29,12440.65,96,32.9,0.0
2024-03-22,Handysize,10068.63,5034.31,48,14.6,0.0
2024-03-22,Supramax,12834.1,6417.05,60,36.6,0.0
2024-03-22,Panamax,16851.32,8425.66,72,28.8,0.0
2024-03-22,Capesize,25115.61,12557.81,96,36.3,0.0
2024-03-25,Handysize,9786.66,4893.33,48,27.2,0.0
2024-03-25,Supramax,12587.02,6293.51,60,40.4,0.0
2024-03-25,Panamax,16431.69,8215.84,72,37.6,0.0
2024-03-25,Capesize,24556.92,12278.46,96,35.9,0.0
2024-03-26,Handysize,9773.48,4886.74,48,40.8,0.0
2024-03-26,Supramax,12903.38,6451.69,60,13.3,0.0
2024-03-26,Panamax,16416.26,8208.13,72,42.1,0.0
2024-03-26,Capesize,24846.14,12423.07,96,53.6,0.0
2024-03-27,Handysize,10268.45,5134.23,48,26.4,0.0
2024-03-27,Supramax,13504.54,6752.27,60,29.1,0.0
2024-03-27,Panamax,16748.14,8374.07,72,13.0,0.0
2024-03-27,Capesize,24877.73,12438.86,96,2.1,0.0
2024-03-28,Handysize,10210.15,5105.07,48,35.6,0.0
2024-03-28,Supramax,12573.18,6286.59,60,48.3,0.0
2024-03-28,Panamax,16210.58,8105.29,72,2.0,0.0
2024-03-28,Capesize,24397.31,12198.66,96,26.7,0.0
2024-03-29,Handysize,9402.35,4701.18,48,34.1,0.0
2024-03-29,Supramax,12277.77,6138.89,60,17.0,0.0
2024-03-29,Panamax,16121.29,8060.65,72,24.1,0.0
2024-03-29,Capesize,24526.19,12263.09,96,42.5,0.0
2024-04-01,Handysize,9568.46,4784.23,48,0.0,0.0
2024-04-01,Supramax,12600.22,6300.11,60,14.0,0.0
2024-04-01,Panamax,16325.8,8162.9,72,35.9,0.0
2024-04-01,Capesize,24607.44,12303.72,96,33.0,0.0
2024-04-02,Handysize,9458.38,4729.19,48,37.7,0.0
2024-04-02,Supramax,12899.54,6449.77,60,18.4,0.0
2024-04-02,Panamax,15595.3,7797.65,72,21.7,0.0
2024-04-02,Capesize,24366.25,12183.12,96,26.5,0.0
2024-04-03,Handysize,9633.65,4816.82,48,20.9,0.0
2024-04-03,Supramax,12649.76,6324.88,60,17.9,0.0
2024-04-03,Panamax,16274.65,8137.32,72,10.7,0.0
2024-04-03,Capesize,24244.67,12122.33,96,13.1,0.0
2024-04-04,Handysize,10070.96,5035.48,48,15.5,0.0
2024-04-04,Supramax,13111.25,6555.62,60,0.0,0.0
2024-04-04,Panamax,16142.5,8071.25,72,0.0,0.0
2024-04-04,Capesize,24829.4,12414.7,96,0.0,0.0
2024-04-05,Handysize,10065.42,5032.71,48,36.3,0.0
2024-04-05,Supramax,13349.21,6674.6,60,37.4,0.0
2024-04-05,Panamax,16701.24,8350.62,72,15.3,0.0
2024-04-05,Capesize,25086.47,12543.24,96,13.4,0.0
2024-04-08,Handysize,9852.02,4926.01,48,16.4,0.0
2024-04-08,Supramax,12745.26,6372.63,60,46.2,0.0
2024-04-08,Panamax,16720.78,8360.39,72,37.0,0.0
2024-04-08,Capesize,24558.0,12279.0,96,21.5,0.0
2024-04-09,Handysize,10138.41,5069.2,48,27.7,0.0
2024-04-09,Supramax,13189.1,6594.55,60,29.1,0.0
2024-04-09,Panamax,16624.34,8312.17,72,23.8,0.0
2024-04-09,Capesize,25610.35,12805.17,96,33.7,0.0
2024-04-10,Handysize,10187.97,5093.98,48,18.2,0.0
2024-04-10,Supramax,12800.56,6400.28,60,18.3,0.0
2024-04-10,Panamax,16359.34,8179.67,72,43.3,0.0
2024-04-10,Capesize,24756.68,12378.34,96,18.3,0.0
2024-04-11,Handysize,10215.19,5107.6,48,36.5,0.0
2024-04-11,Supramax,13318.25,6659.12,60,17.4,0.0
2024-04-11,Panamax,16033.16,8016.58,72,12.4,0.0
2024-04-11,Capesize,24757.3,12378.65,96,24.2,0.0
2024-04-12,Handysize,10134.58,5067.29,48,27.5,0.0
2024-04-12,Supramax,12875.03,6437.52,60,6.1,0.0
2024-04-12,Panamax,16797.21,8398.6,72,11.4,0.0
2024-04-12,Capesize,25033.68,12516.84,96,20.6,0.0
2024-04-15,Handysize,9826.2,4913.1,48,11.5,0.0
2024-04-15,Supramax,12576.79,6288.4,60,21.4,0.0
2024-04-15,Panamax,16918.01,8459.0,72,35.7,0.0
2024-04-15,Capesize,25224.98,12612.49,96,47.3,0.0
2024-04-16,Handysize,9689.63,4844.81,48,17.9,0.0
2024-04-16,Supramax,12995.81,6497.9,60,17.8,0.0
2024-04-16,Panamax,15946.5,7973.25,72,20.0,0.0
2024-04-16,Capesize,25024.47,12512.24,96,21.8,0.0
2024-04-17,Handysize,9768.59,4884.3,48,29.1,0.0
2024-04-17,Supramax,12861.12,6430.56,60,25.1,0.0
2024-04-17,Panamax,16646.43,8323.22,72,27.5,0.0
2024-04-17,Capesize,25257.11,12628.56,96,19.3,0.0
2024-04-18,Handysize,9703.2,4851.6,48,14.5,0.0
2024-04-18,Supramax,12791.45,6395.73,60,0.0,0.0
2024-04-18,Panamax,15749.54,7874.77,72,0.0,0.0
2024-04-18,Capesize,24032.26,12016.13,96,27.2,0.0
2024-04-19,Handysize,9354.59,4677.3,48,0.0,0.0
2024-04-19,Supramax,12778.58,6389.29,60,19.9,0.0
2024-04-19,Panamax,16305.35,8152.68,72,43.3,0.0
2024-04-19,Capesize,24803.4,12401.7,96,42.0,0.0
2024-04-22,Handysize,9839.35,4919.68,48,1.7,0.0
2024-04-22,Supramax,12222.59,6111.3,60,21.2,0.0
2024-04-22,Panamax,15321.41,7660.7,72,55.5,0.0
2024-04-22,Capesize,24064.52,12032.26,96,21.3,0.0
2024-04-23,Handysize,9737.1,4868.55,48,23.7,0.0
2024-04-23,Supramax,12255.98,6127.99,60,39.4,0.0
2024-04-23,Panamax,16148.11,8074.06,72,38.6,0.0
2024-04-23,Capesize,24309.32,12154.66,96,12.0,0.0
2024-04-24,Handysize,9634.77,4817.39,48,30.0,0.0
2024-04-24,Supramax,12274.15,6137.07,60,5.0,0.0
2024-04-24,Panamax,15875.17,7937.59,72,30.2,0.0
2024-04-24,Capesize,24135.02,12067.51,96,32.6,0.0
2024-04-25,Handysize,9894.77,4947.39,48,26.8,0.0
2024-04-25,Supramax,13193.01,6596.51,60,17.9,0.0
2024-04-25,Panamax,16343.05,8171.52,72,37.9,0.0
2024-04-25,Capesize,24133.76,12066.88,96,40.9,0.0
2024-04-26,Handysize,10039.03,5019.52,48,16.5,0.0
2024-04-26,Supramax,12859.38,6429.69,60,24.8,0.0
2024-04-26,Panamax,16305.25,8152.62,72,21.4,0.0
2024-04-26,Capesize,24178.23,12089.11,96,29.1,0.0
2024-04-29,Handysize,9898.19,4949.1,48,48.8,329.94
2024-04-29,Supramax,12257.27,6128.64,60,12.3,0.0
2024-04-29,Panamax,16072.96,8036.48,72,0.0,0.0
2024-04-29,Capesize,24603.71,12301.85,96,13.5,0.0
2024-04-30,Handysize,10080.91,5040.45,48,26.7,0.0
2024-04-30,Supramax,12780.41,6390.2,60,18.8,0.0
2024-04-30,Panamax,16339.74,8169.87,72,13.3,0.0
2024-04-30,Capesize,24464.62,12232.31,96,35.4,0.0
2024-05-01,Handysize,9715.14,4857.57,48,6.6,0.0
2024-05-01,Supramax,12455.99,6227.99,60,44.4,0.0
2024-05-01,Panamax,16410.5,8205.25,72,21.2,0.0
2024-05-01,Capesize,25392.15,12696.08,96,3.4,0.0
2024-05-02,Handysize,10254.27,5127.14,48,0.0,0.0
2024-05-02,Supramax,13232.92,6616.46,60,38.3,0.0
2024-05-02,Panamax,16985.23,8492.61,72,8.9,0.0
2024-05-02,Capesize,25165.04,12582.52,96,31.2,0.0
2024-05-03,Handysize,10386.01,5193.01,48,11.3,0.0
2024-05-03,Supramax,13052.69,6526.35,60,32.8,0.0
2024-05-03,Panamax,16525.35,8262.67,72,29.3,0.0
2024-05-03,Capesize,25090.69,12545.34,96,6.5,0.0
2024-05-06,Handysize,9492.91,4746.45,48,25.4,0.0
2024-05-06,Supramax,13007.2,6503.6,60,23.7,0.0
2024-05-06,Panamax,16713.39,8356.69,72,19.4,0.0
2024-05-06,Capesize,24966.46,12483.23,96,6.6,0.0
2024-05-07,Handysize,9914.76,4957.38,48,45.7,0.0
2024-05-07,Supramax,13074.77,6537.39,60,17.8,0.0
2024-05-07,Panamax,16427.55,8213.77,72,0.5,0.0
2024-05-07,Capesize,25222.5,12611.25,96,21.5,0.0
2024-05-08,Handysize,9436.34,4718.17,48,24.6,0.0
2024-05-08,Supramax,13291.6,6645.8,60,38.0,0.0
2024-05-08,Panamax,16783.66,8391.83,72,32.0,0.0
2024-05-08,Capesize,25062.34,12531.17,96,20.3,0.0
2024-05-09,Handysize,9516.43,4758.22,48,25.7,0.0
2024-05-09,Supramax,13172.76,6586.38,60,2.0,0.0
2024-05-09,Panamax,17010.5,8505.25,72,13.1,0.0
2024-05-09,Capesize,25475.16,12737.58,96,16.6,0.0
2024-05-10,Handysize,9775.5,4887.75,48,0.0,0.0
2024-05-10,Supramax,13527.76,6763.88,60,0.0,0.0
2024-05-10,Panamax,16599.25,8299.62,72,21.1,0.0
2024-05-10,Capesize,26063.08,13031.54,96,4.9,0.0
2024-05-13,Handysize,10671.92,5335.96,48,11.1,0.0
2024-05-13,Supramax,13645.48,6822.74,60,47.0,0.0
2024-05-13,Panamax,17283.33,8641.67,72,22.8,0.0
2024-05-13,Capesize,26096.43,13048.22,96,41.2,0.0
2024-05-14,Handysize,10470.74,5235.37,48,25.5,0.0
2024-05-14,Supramax,13332.69,6666.35,60,25.6,0.0
2024-05-14,Panamax,17422.92,8711.46,72,0.0,0.0
2024-05-14,Capesize,26420.69,13210.34,96,8.8,0.0
2024-05-15,Handysize,10129.29,5064.65,48,14.2,0.0
2024-05-15,Supramax,12995.38,6497.69,60,22.7,0.0
2024-05-15,Panamax,17179.85,8589.92,72,14.8,0.0
2024-05-15,Capesize,25456.3,12728.15,96,24.2,0.0
2024-05-16,Handysize,10597.54,5298.77,48,27.0,0.0
2024-05-16,Supramax,13344.38,6672.19,60,30.8,0.0
2024-05-16,Panamax,16849.11,8424.56,72,19.0,0.0
2024-05-16,Capesize,26189.73,13094.86,96,40.3,0.0
2024-05-17,Handysize,10525.33,5262.66,48,22.2,0.0
2024-05-17,Supramax,13653.46,6826.73,60,47.1,0.0
2024-05-17,Panamax,17316.54,8658.27,72,41.5,0.0
2024-05-17,Capesize,25813.88,12906.94,96,33.1,0.0
2024-05-20,Handysize,10030.1,5015.05,48,9.0,0.0
2024-05-20,Supramax,13921.34,6960.67,60,34.6,0.0
2024-05-20,Panamax,17688.01,8844.0,72,39.7,0.0
2024-05-20,Capesize,26331.7,13165.85,96,35.1,0.0
2024-05-21,Handysize,10937.05,5468.52,48,25.7,0.0
2024-05-21,Supramax,13642.08,6821.04,60,40.6,0.0
2024-05-21,Panamax,18249.42,9124.71,72,38.9,0.0
2024-05-21,Capesize,26640.26,13320.13,96,17.5,0.0
2024-05-22,Handysize,10336.86,5168.43,48,16.6,0.0
2024-05-22,Supramax,13494.49,6747.24,60,43.7,0.0
2024-05-22,Panamax,17460.51,8730.25,72,27.9,0.0
2024-05-22,Capesize,26468.57,13234.28,96,18.4,0.0
2024-05-23,Handysize,10276.58,5138.29,48,39.6,0.0
2024-05-23,Supramax,13746.0,6873.0,60,8.7,0.0
2024-05-23,Panamax,17557.13,8778.57,72,35.2,0.0
2024-05-23,Capesize,26949.87,13474.93,96,46.2,0.0
2024-05-24,Handysize,10386.53,5193.27,48,29.6,0.0
2024-05-24,Supramax,13995.65,6997.82,60,41.7,0.0
2024-05-24,Panamax,17475.98,8737.99,72,26.4,0.0
2024-05-24,Capesize,26548.01,13274.0,96,15.2,0.0
2024-05-27,Handysize,10215.78,5107.89,48,10.8,0.0
2024-05-27,Supramax,13574.06,6787.03,60,31.7,0.0
2024-05-27,Panamax,17428.24,8714.12,72,38.2,0.0
2024-05-27,Capesize,26955.36,13477.68,96,25.2,0.0
2024-05-28,Handysize,10712.03,5356.02,48,15.2,0.0
2024-05-28,Supramax,13480.88,6740.44,60,33.3,0.0
2024-05-28,Panamax,17927.02,8963.51,72,14.8,0.0
2024-05-28,Capesize,26906.09,13453.05,96,7.2,0.0
2024-05-29,Handysize,11139.57,5569.78,48,33.9,0.0
2024-05-29,Supramax,14291.65,7145.82,60,27.2,0.0
2024-05-29,Panamax,17926.46,8963.23,72,17.2,0.0
2024-05-29,Capesize,26764.96,13382.48,96,37.9,0.0
2024-05-30,Handysize,10731.57,5365.78,48,39.4,0.0
