date,origin_country,commodity,volume_thousand_metric_tons
2025-07-01,Australia,Coking Coal,1480.29
2025-07-01,Indonesia,Thermal Coal,2567.83
2025-07-01,South Africa,Thermal Coal,1283.08
2025-07-01,Mozambique,Coking Coal,486.67
2025-07-01,USA,Metallurgical Coal,657.3
2025-08-01,Australia,Coking Coal,1898.0
2025-08-01,Indonesia,Thermal Coal,3277.49
2025-08-01,South Africa,Thermal Coal,1093.4
2025-08-01,Mozambique,Coking Coal,361.24
2025-08-01,USA,Metallurgical Coal,665.73
2025-09-01,Australia,Coking Coal,1968.09
2025-09-01,Indonesia,Thermal Coal,4112.98
2025-09-01,South Africa,Thermal Coal,1379.6
2025-09-01,Mozambique,Coking Coal,701.11
2025-09-01,USA,Metallurgical Coal,808.98
2025-10-01,Australia,Coking Coal,2009.87
2025-10-01,Indonesia,Thermal Coal,3977.21
2025-10-01,South Africa,Thermal Coal,1394.46
2025-10-01,Mozambique,Coking Coal,559.95
2025-10-01,USA,Metallurgical Coal,976.01
2025-11-01,Australia,Coking Coal,2377.28
2025-11-01,Indonesia,Thermal Coal,3973.02
2025-11-01,South Africa,Thermal Coal,1394.18
2025-11-01,Mozambique,Coking Coal,580.21
2025-11-01,USA,Metallurgical Coal,895.74
2025-12-01,Australia,Coking Coal,2176.26
2025-12-01,Indonesia,Thermal Coal,4761.74
2025-12-01,South Africa,Thermal Coal,1582.7
2025-12-01,Mozambique,Coking Coal,519.18
2025-12-01,USA,Metallurgical Coal,800.8
2026-01-01,Australia,Coking Coal,2297.26
2026-01-01,Indonesia,Thermal Coal,3352.13
2026-01-01,South Africa,Thermal Coal,1664.98
2026-01-01,Mozambique,Coking Coal,579.29
2026-01-01,USA,Metallurgical Coal,710.03
2026-02-01,Australia,Coking Coal,2350.78
2026-02-01,Indonesia,Thermal Coal,4134.19
2026-02-01,South Africa,Thermal Coal,1651.99
2026-02-01,Mozambique,Coking Coal,706.48
2026-02-01,USA,Metallurgical Coal,775.53
2026-03-01,Australia,Coking Coal,2097.81
2026-03-01,Indonesia,Thermal Coal,3893.14
2026-03-01,South Africa,Thermal Coal,1519.28
2026-03-01,Mozambique,Coking Coal,662.36
2026-03-01,USA,Metallurgical Coal,907.99
2026-04-01,Australia,Coking Coal,2456.86
2026-04-01,Indonesia,Thermal Coal,4823.41
2026-04-01,South Africa,Thermal Coal,1272.54
2026-04-01,Mozambique,Coking Coal,771.52
2026-04-01,USA,Metallurgical Coal,827.45
2026-05-01,Australia,Coking Coal,2525.26
2026-05-01,Indonesia,Thermal Coal,3883.1
2026-05-01,South Africa,Thermal Coal,1301.59
2026-05-01,Mozambique,Coking Coal,730.78
2026-05-01,USA,Metallurgical Coal,923.91
2026-06-01,Australia,Coking Coal,1833.7
2026-06-01,Indonesia,Thermal Coal,3226.62
2026-06-01,South Africa,Thermal Coal,1202.32
2026-06-01,Mozambique,Coking Coal,504.87
2026-06-01,USA,Metallurgical Coal,731.08
2026-07-01,Australia,Coking Coal,1622.67
2026-07-01,Indonesia,Thermal Coal,2617.62
2026-07-01,South Africa,Thermal Coal,1057.55
2026-07-01,Mozambique,Coking Coal,405.88
2026-07-01,USA,Metallurgical Coal,721.28
2026-08-01,Australia,Coking Coal,1631.29
2026-08-01,Indonesia,Thermal Coal,2992.26
2026-08-01,South Africa,Thermal Coal,1105.69
2026-08-01,Mozambique,Coking Coal,603.43
2026-08-01,USA,Metallurgical Coal,591.15
2026-09-01,Australia,Coking Coal,2277.91
2026-09-01,Indonesia,Thermal Coal,4129.98
2026-09-01,South Africa,Thermal Coal,1404.09
2026-09-01,Mozambique,Coking Coal,768.67
2026-09-01,USA,Metallurgical Coal,792.69
