run_id,model_name,vessel_class,training_date,rmse,mape_percent,r2_score,top_feature,model_status
RUN-0026,SARIMAX_Bunker_Forecaster,All_Classes,2024-07-19,1.99,7.76,0.866,seasonal_monsoon_flag,Staging
RUN-0027,RandomForest_Demurrage_Estimator,Supramax,2026-08-16,1.51,6.87,0.8,baltic_dry_index,Staging
RUN-0028,RandomForest_Demurrage_Estimator,Capesize,2026-08-05,2.7,7.15,0.884,trade_volume_monthly,Archived
RUN-0029,LightGBM_Congestion_Predictor,Handysize,2024-02-04,1.48,4.17,0.938,seasonal_monsoon_flag,Archived
RUN-0030,SARIMAX_Bunker_Forecaster,Supramax,2025-01-04,2.33,8.94,0.837,bunker_price_vlsfo,Deployed
RUN-0031,RandomForest_Demurrage_Estimator,Capesize,2026-05-20,2.7,9.41,0.788,baltic_dry_index,Deployed
RUN-0032,LightGBM_Congestion_Predictor,Handysize,2026-07-26,1.52,4.28,0.91,port_congestion_wait_days,Deployed
RUN-0033,SARIMAX_Bunker_Forecaster,Panamax,2025-02-24,3.08,8.26,0.816,port_congestion_wait_days,Deployed
RUN-0034,SARIMAX_Bunker_Forecaster,Panamax,2025-03-06,2.93,6.5,0.867,baltic_dry_index,Deployed
RUN-0035,RandomForest_Demurrage_Estimator,Supramax,2025-08-10,1.51,8.2,0.795,distance_nm,Staging
RUN-0036,LightGBM_Congestion_Predictor,All_Classes,2024-07-18,1.71,2.51,0.903,trade_volume_monthly,Deployed
RUN-0037,RandomForest_Demurrage_Estimator,Panamax,2024-06-11,3.12,9.0,0.787,seasonal_monsoon_flag,Archived
RUN-0038,XGBoost_Freight_Predictor,All_Classes,2026-01-06,1.17,2.51,0.883,seasonal_monsoon_flag,Deployed
RUN-0039,RandomForest_Demurrage_Estimator,Handysize,2026-03-05,1.6,8.49,0.818,trade_volume_monthly,Archived
RUN-0040,XGBoost_Freight_Predictor,Panamax,2025-06-19,1.38,3.87,0.908,bunker_price_vlsfo,Deployed
RUN-0041,XGBoost_Freight_Predictor,Supramax,2025-09-12,1.62,5.23,0.934,trade_volume_monthly,Archived
RUN-0042,SARIMAX_Bunker_Forecaster,Capesize,2025-07-28,1.62,6.62,0.888,distance_nm,Deployed
RUN-0043,XGBoost_Freight_Predictor,Capesize,2024-04-02,1.2,2.71,0.951,distance_nm,Archived
RUN-0044,XGBoost_Freight_Predictor,Supramax,2025-01-05,1.24,5.22,0.914,distance_nm,Deployed
RUN-0045,XGBoost_Freight_Predictor,Supramax,2025-03-18,0.97,4.95,0.92,distance_nm,Archived
RUN-0046,LightGBM_Congestion_Predictor,Supramax,2026-02-21,1.8,4.1,0.887,baltic_dry_index,Deployed
RUN-0047,RandomForest_Demurrage_Estimator,All_Classes,2025-09-19,2.69,5.88,0.827,distance_nm,Deployed
RUN-0048,RandomForest_Demurrage_Estimator,Supramax,2025-06-25,3.08,8.48,0.865,trade_volume_monthly,Staging
RUN-0049,RandomForest_Demurrage_Estimator,All_Classes,2024-07-27,1.67,7.38,0.821,seasonal_monsoon_flag,Deployed
RUN-0050,RandomForest_Demurrage_Estimator,Panamax,2026-01-15,2.05,5.63,0.814,distance_nm,Archived
RUN-0051,LightGBM_Congestion_Predictor,Capesize,2024-02-04,1.43,4.58,0.925,trade_volume_monthly,Archived
RUN-0052,RandomForest_Demurrage_Estimator,All_Classes,2024-12-12,3.19,9.12,0.811,distance_nm,Deployed
RUN-0053,SARIMAX_Bunker_Forecaster,Capesize,2024-03-15,2.76,6.96,0.872,trade_volume_monthly,Staging
RUN-0054,LightGBM_Congestion_Predictor,Capesize,2024-12-05,1.64,3.38,0.885,seasonal_monsoon_flag,Archived
RUN-0055,SARIMAX_Bunker_Forecaster,All_Classes,2025-04-20,3.04,7.2,0.818,seasonal_monsoon_flag,Deployed
RUN-0056,RandomForest_Demurrage_Estimator,Handysize,2025-02-27,2.55,8.24,0.815,trade_volume_monthly,Archived
RUN-0057,RandomForest_Demurrage_Estimator,Capesize,2025-10-15,1.55,9.13,0.783,distance_nm,Deployed
RUN-0058,LightGBM_Congestion_Predictor,Capesize,2025-05-02,1.64,5.35,0.933,trade_volume_monthly,Archived
RUN-0059,LightGBM_Congestion_Predictor,Supramax,2024-01-11,1.02,4.49,0.931,distance_nm,Deployed
RUN-0060,RandomForest_Demurrage_Estimator,Supramax,2024-10-22,2.71,5.52,0.828,bunker_price_vlsfo,Archived
RUN-0061,LightGBM_Congestion_Predictor,All_Classes,2025-08-12,0.99,4.94,0.954,baltic_dry_index,Archived
RUN-0062,SARIMAX_Bunker_Forecaster,All_Classes,2024-04-19,1.55,6.31,0.885,seasonal_monsoon_flag,Archived
RUN-0063,RandomForest_Demurrage_Estimator,Panamax,2024-02-06,2.11,7.92,0.83,baltic_dry_index,Archived
RUN-0064,RandomForest_Demurrage_Estimator,All_Classes,2025-11-01,2.7,8.07,0.845,trade_volume_monthly,Deployed
RUN-0065,LightGBM_Congestion_Predictor,Capesize,2026-07-30,1.74,5.38,0.917,baltic_dry_index,Staging
RUN-0066,LightGBM_Congestion_Predictor,Supramax,2024-06-21,1.08,3.82,0.928,distance_nm,Staging
RUN-0067,RandomForest_Demurrage_Estimator,All_Classes,2025-03-06,2.43,6.0,0.785,seasonal_monsoon_flag,Archived
RUN-0068,LightGBM_Congestion_Predictor,All_Classes,2026-08-02,0.94,5.47,0.925,port_congestion_wait_days,Archived
RUN-0069,XGBoost_Freight_Predictor,Capesize,2024-08-11,1.19,3.13,0.895,seasonal_monsoon_flag,Staging
RUN-0070,RandomForest_Demurrage_Estimator,Supramax,2026-09-02,1.67,6.05,0.856,seasonal_monsoon_flag,Archived
RUN-0071,RandomForest_Demurrage_Estimator,All_Classes,2026-02-17,1.71,6.98,0.804,distance_nm,Archived
RUN-0072,XGBoost_Freight_Predictor,Capesize,2024-08-21,1.74,2.9,0.922,trade_volume_monthly,Staging
RUN-0073,SARIMAX_Bunker_Forecaster,Handysize,2025-01-02,2.77,6.26,0.817,seasonal_monsoon_flag,Deployed
RUN-0074,RandomForest_Demurrage_Estimator,Panamax,2024-05-25,3.18,5.08,0.887,trade_volume_monthly,Archived
RUN-0075,LightGBM_Congestion_Predictor,Panamax,2024-11-09,1.37,4.11,0.884,trade_volume_monthly,Archived
RUN-0076,XGBoost_Freight_Predictor,All_Classes,2026-03-01,1.4,3.0,0.881,seasonal_monsoon_flag,Deployed
RUN-0077,SARIMAX_Bunker_Forecaster,Capesize,2024-05-29,2.8,5.67,0.819,trade_volume_monthly,Archived
RUN-0078,XGBoost_Freight_Predictor,All_Classes,2026-08-06,0.99,2.64,0.922,baltic_dry_index,Deployed
RUN-0079,SARIMAX_Bunker_Forecaster,Handysize,2025-10-24,2.97,7.76,0.848,bunker_price_vlsfo,Staging
RUN-0080,RandomForest_Demurrage_Estimator,Panamax,2026-06-24,1.58,7.7,0.817,port_congestion_wait_days,Archived
RUN-0081,XGBoost_Freight_Predictor,Handysize,2026-04-23,1.16,3.95,0.957,port_congestion_wait_days,Deployed
RUN-0082,LightGBM_Congestion_Predictor,Capesize,2025-10-16,1.62,2.53,0.954,trade_volume_monthly,Archived
RUN-0083,XGBoost_Freight_Predictor,Supramax,2026-02-25,0.99,2.83,0.942,port_congestion_wait_days,Staging
RUN-0084,XGBoost_Freight_Predictor,All_Classes,2025-03-26,1.56,3.71,0.933,trade_volume_monthly,Deployed
RUN-0085,XGBoost_Freight_Predictor,Panamax,2024-07-23,1.02,3.54,0.939,distance_nm,Staging
RUN-0086,XGBoost_Freight_Predictor,Handysize,2025-12-18,0.99,3.83,0.888,seasonal_monsoon_flag,Archived
RUN-0087,SARIMAX_Bunker_Forecaster,Handysize,2024-08-14,2.52,7.14,0.834,seasonal_monsoon_flag,Deployed
RUN-0088,SARIMAX_Bunker_Forecaster,Supramax,2026-01-10,2.78,6.23,0.813,trade_volume_monthly,Staging
RUN-0089,SARIMAX_Bunker_Forecaster,Supramax,2025-04-20,2.94,6.35,0.852,distance_nm,Staging
RUN-0090,RandomForest_Demurrage_Estimator,Handysize,2024-04-11,1.75,5.3,0.839,seasonal_monsoon_flag,Archived
RUN-0091,RandomForest_Demurrage_Estimator,Capesize,2025-01-02,2.26,6.5,0.837,trade_volume_monthly,Archived
RUN-0092,LightGBM_Congestion_Predictor,All_Classes,2024-04-17,1.41,4.77,0.946,port_congestion_wait_days,Archived
RUN-0093,XGBoost_Freight_Predictor,Supramax,2024-11-19,1.69,2.81,0.949,trade_volume_monthly,Archived
RUN-0094,LightGBM_Congestion_Predictor,Handysize,2025-05-26,1.73,2.89,0.908,distance_nm,Archived
RUN-0095,RandomForest_Demurrage_Estimator,Capesize,2024-05-21,2.38,8.46,0.846,bunker_price_vlsfo,Staging
RUN-0096,RandomForest_Demurrage_Estimator,Supramax,2025-10-31,2.84,8.39,0.836,trade_volume_monthly,Archived
RUN-0097,XGBoost_Freight_Predictor,Handysize,2026-01-25,1.63,4.39,0.882,port_congestion_wait_days,Archived
RUN-0098,RandomForest_Demurrage_Estimator,All_Classes,2026-02-28,3.13,5.37,0.858,baltic_dry_index,Deployed
RUN-0099,LightGBM_Congestion_Predictor,Capesize,2025-02-07,1.63,2.97,0.914,port_congestion_wait_days,Staging
RUN-0100,SARIMAX_Bunker_Forecaster,Supramax,2024-12-15,2.24,8.78,0.865,port_congestion_wait_days,Archived
RUN-0101,XGBoost_Freight_Predictor,Supramax,2024-08-05,1.64,4.64,0.895,distance_nm,Archived
RUN-0102,XGBoost_Freight_Predictor,Panamax,2025-06-26,0.83,3.34,0.905,port_congestion_wait_days,Staging
RUN-0103,XGBoost_Freight_Predictor,Supramax,2026-01-21,1.3,3.72,0.927,trade_volume_monthly,Archived
RUN-0104,LightGBM_Congestion_Predictor,Panamax,2025-08-20,1.14,3.39,0.901,distance_nm,Archived
RUN-0105,RandomForest_Demurrage_Estimator,Supramax,2024-06-04,1.96,8.07,0.867,trade_volume_monthly,Staging
RUN-0106,RandomForest_Demurrage_Estimator,All_Classes,2025-07-08,2.69,7.9,0.807,port_congestion_wait_days,Archived
RUN-0107,LightGBM_Congestion_Predictor,All_Classes,2025-01-15,1.0,4.74,0.895,baltic_dry_index,Archived
RUN-0108,XGBoost_Freight_Predictor,Supramax,2025-09-06,1.63,4.93,0.95,port_congestion_wait_days,Staging
RUN-0109,SARIMAX_Bunker_Forecaster,Handysize,2025-09-25,1.68,8.23,0.787,baltic_dry_index,Archived
RUN-0110,LightGBM_Congestion_Predictor,Panamax,2025-12-02,0.91,2.76,0.958,bunker_price_vlsfo,Staging
RUN-0111,XGBoost_Freight_Predictor,Capesize,2026-05-19,1.04,5.26,0.894,distance_nm,Deployed
RUN-0112,XGBoost_Freight_Predictor,Supramax,2026-02-01,1.43,3.29,0.949,port_congestion_wait_days,Deployed
RUN-0113,SARIMAX_Bunker_Forecaster,Handysize,2024-06-07,2.74,6.39,0.88,seasonal_monsoon_flag,Archived
RUN-0114,SARIMAX_Bunker_Forecaster,All_Classes,2026-03-23,2.96,8.14,0.845,baltic_dry_index,Archived
RUN-0115,SARIMAX_Bunker_Forecaster,All_Classes,2025-10-05,3.12,6.23,0.828,seasonal_monsoon_flag,Deployed
RUN-0116,LightGBM_Congestion_Predictor,All_Classes,2026-07-17,1.69,3.7,0.898,bunker_price_vlsfo,Staging
RUN-0117,RandomForest_Demurrage_Estimator,Panamax,2024-07-29,2.79,5.0,0.808,port_congestion_wait_days,Deployed
RUN-0118,XGBoost_Freight_Predictor,Supramax,2025-08-25,1.0,5.28,0.957,baltic_dry_index,Deployed
RUN-0119,LightGBM_Congestion_Predictor,All_Classes,2026-09-01,0.86,3.27,0.956,bunker_price_vlsfo,Archived
RUN-0120,XGBoost_Freight_Predictor,Capesize,2025-02-23,1.28,4.3,0.942,seasonal_monsoon_flag,Deployed
RUN-0121,XGBoost_Freight_Predictor,Supramax,2024-04-29,1.13,3.11,0.894,port_congestion_wait_days,Staging
RUN-0122,RandomForest_Demurrage_Estimator,Capesize,2025-04-23,1.72,7.95,0.834,baltic_dry_index,Deployed
RUN-0123,SARIMAX_Bunker_Forecaster,Panamax,2026-01-14,3.07,6.16,0.868,port_congestion_wait_days,Deployed
RUN-0124,SARIMAX_Bunker_Forecaster,Supramax,2026-03-03,2.06,7.84,0.889,baltic_dry_index,Archived
RUN-0125,LightGBM_Congestion_Predictor,Capesize,2025-03-25,1.24,5.49,0.883,trade_volume_monthly,Deployed
RUN-0126,XGBoost_Freight_Predictor,Supramax,2025-09-03,1.79,4.86,0.942,distance_nm,Archived
RUN-0127,LightGBM_Congestion_Predictor,Capesize,2024-12-21,0.88,5.32,0.881,trade_volume_monthly,Staging
RUN-0128,SARIMAX_Bunker_Forecaster,Capesize,2026-06-17,2.69,9.12,0.832,seasonal_monsoon_flag,Archived
RUN-0129,LightGBM_Congestion_Predictor,Supramax,2026-06-16,1.59,5.17,0.936,bunker_price_vlsfo,Archived
RUN-0130,RandomForest_Demurrage_Estimator,All_Classes,2025-03-24,2.94,9.1,0.78,bunker_price_vlsfo,Deployed
RUN-0131,LightGBM_Congestion_Predictor,Panamax,2024-09-07,1.47,3.34,0.913,trade_volume_monthly,Archived
RUN-0132,SARIMAX_Bunker_Forecaster,Handysize,2024-09-23,2.13,6.68,0.84,trade_volume_monthly,Staging
RUN-0133,RandomForest_Demurrage_Estimator,Handysize,2026-01-07,1.79,7.51,0.813,seasonal_monsoon_flag,Archived
RUN-0134,LightGBM_Congestion_Predictor,All_Classes,2026-01-03,1.73,5.03,0.923,distance_nm,Staging
RUN-0135,SARIMAX_Bunker_Forecaster,Capesize,2026-05-31,1.62,6.51,0.871,bunker_price_vlsfo,Staging
RUN-0136,SARIMAX_Bunker_Forecaster,All_Classes,2025-09-19,2.78,9.31,0.812,trade_volume_monthly,Archived
RUN-0137,LightGBM_Congestion_Predictor,Panamax,2024-02-06,1.41,5.4,0.928,baltic_dry_index,Staging
RUN-0138,LightGBM_Congestion_Predictor,Supramax,2025-03-02,1.75,3.93,0.93,distance_nm,Archived
RUN-0139,LightGBM_Congestion_Predictor,All_Classes,2026-07-27,1.0,4.35,0.928,baltic_dry_index,Deployed
RUN-0140,RandomForest_Demurrage_Estimator,All_Classes,2024-03-24,1.53,6.62,0.807,seasonal_monsoon_flag,Staging
RUN-0141,RandomForest_Demurrage_Estimator,Capesize,2024-02-27,1.54,5.17,0.885,bunker_price_vlsfo,Staging
RUN-0142,XGBoost_Freight_Predictor,Handysize,2026-06-18,1.27,3.94,0.935,baltic_dry_index,Staging
RUN-0143,LightGBM_Congestion_Predictor,Panamax,2024-02-25,1.75,3.18,0.908,trade_volume_monthly,Deployed
RUN-0144,XGBoost_Freight_Predictor,All_Classes,2024-10-12,1.77,2.68,0.909,port_congestion_wait_days,Staging
RUN-0145,LightGBM_Congestion_Predictor,All_Classes,2026-04-22,1.63,2.94,0.888,bunker_price_vlsfo,Staging
RUN-0146,RandomForest_Demurrage_Estimator,Handysize,2025-01-30,1.55,8.65,0.854,trade_volume_monthly,Archived
RUN-0147,XGBoost_Freight_Predictor,All_Classes,2024-01-03,1.56,4.09,0.905,distance_nm,Staging
RUN-0148,LightGBM_Congestion_Predictor,Capesize,2026-03-16,1.55,2.72,0.889,bunker_price_vlsfo,Staging
RUN-0149,RandomForest_Demurrage_Estimator,Capesize,2024-10-09,1.77,7.49,0.812,distance_nm,Deployed
RUN-0150,LightGBM_Congestion_Predictor,Supramax,2024-02-05,1.69,4.52,0.895,port_congestion_wait_days,Staging
RUN-0151,LightGBM_Congestion_Predictor,Handysize,2024-07-02,1.18,4.44,0.917,port_congestion_wait_days,Deployed
RUN-0152,SARIMAX_Bunker_Forecaster,Panamax,2026-07-27,3.12,7.2,0.781,port_congestion_wait_days,Deployed
RUN-0153,RandomForest_Demurrage_Estimator,Handysize,2025-10-26,3.1,8.39,0.841,trade_volume_monthly,Staging
RUN-0154,SARIMAX_Bunker_Forecaster,Handysize,2026-07-03,2.54,7.54,0.819,bunker_price_vlsfo,Deployed
RUN-0155,XGBoost_Freight_Predictor,All_Classes,2024-06-13,1.05,4.73,0.897,bunker_price_vlsfo,Staging
RUN-0156,SARIMAX_Bunker_Forecaster,Panamax,2024-01-11,1.79,6.09,0.847,seasonal_monsoon_flag,Archived
RUN-0157,LightGBM_Congestion_Predictor,Supramax,2026-07-29,1.59,4.8,0.943,distance_nm,Staging
RUN-0158,XGBoost_Freight_Predictor,Panamax,2026-05-08,1.79,5.4,0.888,trade_volume_monthly,Staging
RUN-0159,LightGBM_Congestion_Predictor,Capesize,2024-05-24,1.14,5.16,0.953,baltic_dry_index,Staging
RUN-0160,LightGBM_Congestion_Predictor,Supramax,2026-03-14,1.34,4.22,0.95,seasonal_monsoon_flag,Deployed
RUN-0161,LightGBM_Congestion_Predictor,Handysize,2024-02-03,1.15,5.02,0.96,trade_volume_monthly,Archived
RUN-0162,SARIMAX_Bunker_Forecaster,Supramax,2025-11-24,1.88,7.85,0.802,trade_volume_monthly,Archived
RUN-0163,RandomForest_Demurrage_Estimator,All_Classes,2024-05-25,2.24,7.45,0.811,distance_nm,Archived
RUN-0164,XGBoost_Freight_Predictor,All_Classes,2024-07-22,1.51,4.07,0.93,baltic_dry_index,Archived
RUN-0165,RandomForest_Demurrage_Estimator,Panamax,2026-06-11,2.6,5.06,0.859,bunker_price_vlsfo,Archived
RUN-0166,RandomForest_Demurrage_Estimator,Panamax,2026-01-14,1.51,8.66,0.871,bunker_price_vlsfo,Archived
RUN-0167,SARIMAX_Bunker_Forecaster,Panamax,2025-12-14,2.57,6.24,0.802,distance_nm,Deployed
RUN-0168,LightGBM_Congestion_Predictor,Supramax,2025-09-17,1.52,2.68,0.935,distance_nm,Staging
RUN-0169,RandomForest_Demurrage_Estimator,Handysize,2024-10-07,1.61,6.69,0.826,port_congestion_wait_days,Archived
RUN-0170,RandomForest_Demurrage_Estimator,Panamax,2024-08-09,2.23,5.67,0.835,port_congestion_wait_days,Archived
RUN-0171,LightGBM_Congestion_Predictor,All_Classes,2025-03-27,1.02,3.62,0.919,port_congestion_wait_days,Archived
RUN-0172,SARIMAX_Bunker_Forecaster,Handysize,2024-09-07,2.05,9.32,0.843,bunker_price_vlsfo,Staging
RUN-0173,XGBoost_Freight_Predictor,Panamax,2026-01-07,0.99,2.66,0.92,distance_nm,Staging
RUN-0174,SARIMAX_Bunker_Forecaster,Supramax,2024-05-16,2.84,8.21,0.838,trade_volume_monthly,Archived
RUN-0175,SARIMAX_Bunker_Forecaster,Handysize,2025-01-22,1.81,5.5,0.79,trade_volume_monthly,Archived
RUN-0176,LightGBM_Congestion_Predictor,Panamax,2025-03-10,1.59,3.77,0.935,distance_nm,Archived
RUN-0177,SARIMAX_Bunker_Forecaster,Supramax,2025-06-16,3.12,8.14,0.805,distance_nm,Deployed
RUN-0178,LightGBM_Congestion_Predictor,Panamax,2024-11-01,1.58,4.63,0.935,bunker_price_vlsfo,Staging
RUN-0179,LightGBM_Congestion_Predictor,Handysize,2025-08-26,1.0,2.73,0.953,port_congestion_wait_days,Archived
RUN-0180,SARIMAX_Bunker_Forecaster,Panamax,2024-03-28,2.39,9.45,0.827,baltic_dry_index,Deployed
RUN-0181,LightGBM_Congestion_Predictor,Capesize,2024-05-05,0.99,2.79,0.895,distance_nm,Archived
RUN-0182,RandomForest_Demurrage_Estimator,Handysize,2024-01-16,2.96,9.46,0.874,baltic_dry_index,Archived
RUN-0183,SARIMAX_Bunker_Forecaster,Capesize,2024-03-14,1.99,6.69,0.879,port_congestion_wait_days,Deployed
RUN-0184,LightGBM_Congestion_Predictor,Panamax,2025-07-24,1.11,3.24,0.934,trade_volume_monthly,Archived
RUN-0185,LightGBM_Congestion_Predictor,Panamax,2025-05-07,1.44,4.71,0.935,trade_volume_monthly,Archived
RUN-0186,XGBoost_Freight_Predictor,Capesize,2024-08-16,1.72,5.41,0.94,trade_volume_monthly,Archived
RUN-0187,SARIMAX_Bunker_Forecaster,Panamax,2026-07-22,1.6,6.79,0.856,port_congestion_wait_days,Deployed
RUN-0188,XGBoost_Freight_Predictor,Supramax,2025-07-28,1.55,3.93,0.936,seasonal_monsoon_flag,Archived
RUN-0189,SARIMAX_Bunker_Forecaster,Capesize,2026-05-22,2.66,7.79,0.8,distance_nm,Staging
RUN-0190,RandomForest_Demurrage_Estimator,Handysize,2024-03-07,1.97,9.47,0.841,distance_nm,Deployed
RUN-0191,SARIMAX_Bunker_Forecaster,Supramax,2024-10-13,2.41,6.01,0.843,port_congestion_wait_days,Staging
RUN-0192,RandomForest_Demurrage_Estimator,Supramax,2024-10-26,1.84,7.72,0.875,baltic_dry_index,Archived
RUN-0193,XGBoost_Freight_Predictor,Panamax,2024-11-17,1.24,4.84,0.894,distance_nm,Staging
RUN-0194,SARIMAX_Bunker_Forecaster,Handysize,2026-08-30,1.9,5.95,0.89,distance_nm,Archived
RUN-0195,SARIMAX_Bunker_Forecaster,Supramax,2024-12-05,2.45,9.01,0.843,distance_nm,Archived
RUN-0196,XGBoost_Freight_Predictor,Capesize,2025-06-25,1.05,3.83,0.888,baltic_dry_index,Archived
RUN-0197,SARIMAX_Bunker_Forecaster,All_Classes,2024-05-06,2.38,5.36,0.793,bunker_price_vlsfo,Deployed
RUN-0198,RandomForest_Demurrage_Estimator,Handysize,2025-03-29,2.49,5.66,0.878,seasonal_monsoon_flag,Staging
RUN-0199,XGBoost_Freight_Predictor,Handysize,2025-07-06,1.53,4.05,0.912,trade_volume_monthly,Archived
RUN-0200,SARIMAX_Bunker_Forecaster,Panamax,2024-11-16,1.93,9.07,0.8,baltic_dry_index,Staging
RUN-0201,RandomForest_Demurrage_Estimator,All_Classes,2024-02-16,2.92,8.81,0.829,seasonal_monsoon_flag,Deployed
RUN-0202,RandomForest_Demurrage_Estimator,Handysize,2025-11-12,2.57,6.92,0.788,trade_volume_monthly,Archived
RUN-0203,LightGBM_Congestion_Predictor,Panamax,2024-04-08,0.84,2.66,0.901,baltic_dry_index,Archived
RUN-0204,LightGBM_Congestion_Predictor,Panamax,2024-04-06,0.96,5.25,0.883,trade_volume_monthly,Archived
RUN-0205,XGBoost_Freight_Predictor,Supramax,2025-07-23,1.23,3.8,0.89,seasonal_monsoon_flag,Deployed
RUN-0206,RandomForest_Demurrage_Estimator,Supramax,2024-07-10,2.82,5.01,0.86,distance_nm,Archived
RUN-0207,RandomForest_Demurrage_Estimator,Handysize,2025-07-10,2.6,6.76,0.786,port_congestion_wait_days,Staging
RUN-0208,SARIMAX_Bunker_Forecaster,Panamax,2026-07-23,1.79,5.84,0.85,seasonal_monsoon_flag,Staging
RUN-0209,LightGBM_Congestion_Predictor,Panamax,2025-02-03,1.8,5.23,0.915,port_congestion_wait_days,Archived
RUN-0210,SARIMAX_Bunker_Forecaster,All_Classes,2026-06-07,3.18,9.32,0.789,bunker_price_vlsfo,Archived
RUN-0211,RandomForest_Demurrage_Estimator,Capesize,2024-09-15,2.77,9.24,0.84,trade_volume_monthly,Staging
RUN-0212,SARIMAX_Bunker_Forecaster,All_Classes,2026-05-20,1.7,9.31,0.872,trade_volume_monthly,Archived
RUN-0213,SARIMAX_Bunker_Forecaster,Handysize,2024-11-24,3.09,5.4,0.857,bunker_price_vlsfo,Archived
RUN-0214,RandomForest_Demurrage_Estimator,Panamax,2026-01-04,2.32,8.87,0.872,port_congestion_wait_days,Deployed
RUN-0215,LightGBM_Congestion_Predictor,All_Classes,2026-04-14,1.47,2.79,0.929,trade_volume_monthly,Staging
RUN-0216,RandomForest_Demurrage_Estimator,Supramax,2025-12-10,2.24,5.07,0.889,port_congestion_wait_days,Archived
RUN-0217,SARIMAX_Bunker_Forecaster,Handysize,2026-04-26,3.12,5.54,0.819,distance_nm,Deployed
RUN-0218,SARIMAX_Bunker_Forecaster,All_Classes,2024-06-21,2.93,8.17,0.801,seasonal_monsoon_flag,Staging
RUN-0219,XGBoost_Freight_Predictor,All_Classes,2025-08-24,0.89,4.31,0.926,port_congestion_wait_days,Archived
RUN-0220,RandomForest_Demurrage_Estimator,All_Classes,2025-03-20,2.86,8.97,0.886,trade_volume_monthly,Staging
RUN-0221,LightGBM_Congestion_Predictor,Panamax,2025-01-03,1.64,3.62,0.923,bunker_price_vlsfo,Archived
RUN-0222,XGBoost_Freight_Predictor,Handysize,2025-01-16,1.14,4.04,0.925,port_congestion_wait_days,Archived
RUN-0223,RandomForest_Demurrage_Estimator,Panamax,2025-12-19,2.56,5.81,0.84,distance_nm,Deployed
RUN-0224,LightGBM_Congestion_Predictor,Capesize,2025-08-07,1.22,3.73,0.956,distance_nm,Staging
